Good job!	خدما مليحا.
Thank you.	يعطيك الصحة.
I have won.	ربحت.
I ran home.	هربت لدّار.
Tom's dead.	مات طوم.
We are men.	حنايا رجال.
How are you?	Wech rak?
We need you.	نسحقُّوك.
Why not both?	وعلاش ماشي في زوج؟
I hate French.	نكره لفرنسي.
That's my cat.	هادا لقط ديالي.
That's my cat.	هادا لقط تاعي.
That's my cat.	هادي لقطّا ديالي.
That's my cat.	هادي لقطّا تاعي.
Tom's smiling.	طوم راو يبتسم.
Did you see it?	شفتها؟
Did you see it?	شفتو؟
I'm making tea.	راني ندير فلاتاي.
Open the doors.	افتح لبيبان.
Open the doors.	افتحو لبيبان.
I think so, too.	حتانا بانتلي هاكدا.
I think so, too.	حتانا نشك هاكدا.
She forgave him.	سمحتلو.
There she comes.	هايليك راي جايا.
This is a horse.	هادا عود.
What's her name?	وسّمها؟
What's his name?	وسمو؟
Did you have fun?	عجبكم لحال؟
Did you see that?	شفت هادا؟
Did you see that?	شفت هادي؟
Have you seen it?	شفتها؟
Have you seen it?	شفتو؟
I'm 25 years old.	في عمري 25 سنا.
What could it be?	وش يقدر ايكون.
What could it be?	وش تقدر تكون.
What's your name?	وسمك؟
Have you seen her?	شفتها؟
His story is true.	حكايتو كاين منها.
I have a computer.	عندي ميكرو.
The house is cold.	ادّار راي باردا.
Tom gave me a pen.	طوم أطالي كريُّون.
We're old friends.	حنا صحاب قدم.
We're old friends.	حنا حباب قدم.
What is your name?	وسمك؟
You had better go.	روح خيرلك.
Can I use your pen?	نقدر نستعمل ستيلو ديالك.
Can you wait a bit?	تقدر تسنّا شويّا.
Can you wait a bit?	تقّدري تسنّاي شويّا.
Can you wait a bit?	تقدّرو تسنّاو شويّا.
Don't be so stupid.	ماتكونش جايح.
Don't be so stupid.	ماتكونش بهلول.
How did he find us?	كيفاش لقانا؟
I corrected myself.	صحَّحت روحي.
She is about forty.	عندها قريب ربعين سنا في عمرها.
Can you rub my back?	تقدر تحكلي دهري.
Can you rub my back?	تقدري تحكِّيلي دهري.
I can survive alone.	ما نقدرش نعيش وحدي.
I pretended to work.	كونت ندير روحي نخدم.
I pretended to work.	كونت داير روحي نخدم.
Did you win the race?	ربحت لاكورس.
It's not their fault.	ماشي لغلطا ديالهم.
May I have your name?	تقدر تقولِّي وسمك؟
Sumatra is an island.	سوماترا جزيرا.
We didn't do a thing.	مادرنا والو.
Who did you vote for?	عليمن فوطيت.
Why do you work here?	علاش تخدم هنا.
Call me at the office.	عيّطلي فلبيرو.
Can I turn off the TV?	نقدر نطفي تلفزيون؟
Can I use your pencil?	نقدر نستعمل لقلم ديالك.
He crossed the street.	قطع طريق.
I am tired of my work.	عييت ملخدما ديالي.
May I use your pencil?	نقدر نستعمل لقلم ديالك.
Don't be overconfident.	ما تكونش واتق بزّاف منفسك.
He wasn't ready for it.	ماكانش واجدلها.
It's fairly warm today.	الحال شوية سخون اليوم.
Take your hands off me!	نحِّي يدّك عليّا.
This is the last train.	هادي هيّا لماشينا لّخرا.
What're we waiting for?	واش رانا نستنّاو؟
Could I use your pencil?	نقدر نستعمل لقلم ديالك.
I always walk to school.	دايما نروح لّمسيد نمشي.
I have bad news for you.	عندي خبر عيّان ليك.
It's not the first time.	ماشي لمرَّا لّولا.
The price is reasonable.	سوما معقولا.
They are making a salad.	راهم ايديرو فشلاضا
Tom told you, didn't he?	طوم لّيقالك، ولاّ لالا؟
Why didn't you stop them?	وعلاش ما حبستهومش؟
I don't want to be a hero.	مارانيش حاب نكون بطل.
I have to make some calls.	لازم نتيليفوني.
It is nice and warm today.	لحال راو شباب اودافي ليوم.
There are almost no books.	قريب ماكاين حتى كتاب.
Where are you going to go?	وين راك رايح تروح.
Where are you going to go?	وين راكم رايحين تروحو.
Where are you going to go?	وين راكي رايحا تروحي.
He seems to be very sleepy.	ايبان راو نعسان بزّاف.
I think you'd better leave.	نضن تعمل مليح لوكان تروح.
In other words, he is lazy.	بمعنى واحد آخر، فنيان.
We have no school tomorrow.	غدوا ما نقراوش.
What time did Tom get here?	علاقدّاش لحق طوم لّهنا.
Are you going by bus or car?	تروح فلكار ولا فطونوبيل.
Are you going by bus or car?	تروحي فلكار ولا فطونوبيل.
