I'm OK.	Mən yaxşıyam.
Really?	Əminsən?
Really?	Doğurdan?
Really?	Dəqiq?
It's me.	Bu mənəm.
Join us.	Bizə qoşul.
Perfect!	Əla!
Perfect!	Möhtəşəm!
Shut up!	Kəs səsini!
Shut up!	Yum ağzını!
Tom won.	Tom uddu.
Welcome.	Xoş gəlmişsiniz!
You won.	Sən uddun.
Hurry up.	Tələs!
I'm home.	Evdəyəm.
I'm ugly.	Mən çirkinəm.
I'm ugly.	Mən eybəcərəm.
Tom came.	Tom gəldi.
Who's he?	O kimdir?
Birds fly.	Quşlar uçurlar.
I knew it.	Mən bunu bilirdim.
I laughed.	Mən güldüm.
I'll talk.	Mən danışaram.
I'm angry.	Hirsliyəm.
I'm tired.	Yorulmuşam.
I'm tired.	Yorğunam.
I'm young.	Mən gəncəm.
I'm young.	Mən cavanam.
Is it bad?	Pisdir?
Is it hot?	Qaynardır?
We'll win.	Biz qalib gələcəyik.
Be careful!	Ehtiyatlı olun!
Be careful.	Ehtiyatlı ol!
Be serious.	Ciddi olun!
Be serious.	Ciddi ol!
Birds sing.	Quşlar oxuyurlar.
Definitely!	Əlbəttə!
Forgive me.	Bağışla məni.
God exists.	Allah var.
God exists.	Allah mövcuddur.
I can wait.	Mən gözləyə bilirəm.
I can wait.	Mən gözləyə bilərəm.
I chew gum.	Saqqız çeynəyirəm.
I eat meat.	Mən ət yeyirəm.
I like you.	Səndən xoşum gəlir.
I like you.	Sizdən xoşum gəlir.
I ran home.	Mən evə qaçdım.
I sat down.	Mən oturdum.
I sat down.	Mən əyləşdim.
I was weak.	Mən zəif idim.
I'm buying.	Mən alıram.
Is he busy?	O məşğuldur?
It's green.	Yaşıldır.
Jesus wept.	İsa ağladı.
They agree.	Onlar razıdırlar.
Tom's home.	Tom evdədir.
We're lazy.	Biz tənbəlik.
We're poor.	Biz kasıbıq.
Who was it?	O kim idi?
You're sad.	Qəmginsiniz.
He has come!	O gəlib!
He has wine.	Onun şərabı var.
I eat bread.	Mən çörək yeyirəm.
I know that.	Onu bilirəm.
I like them.	Onlar mənim xoşuma gəlir.
I love cats.	Mən pişikləri sevirəm.
I saw a dog.	Mən it gördüm.
I work here.	Mən burada işləyirəm.
I'm not Tom.	Mən Tom deyiləm.
I'm not sad.	Mən qəmgin deyiləm.
Is it yours?	Bu sizindir?
Is it yours?	Bu sizinkidir?
Sit with me.	Mənimlə oturun.
Tom'll wait.	Tom gözləyəcək.
Tom's young.	Tom gəncdir.
We love you.	Biz sizi sevirik.
We're twins.	Biz əkizlərik.
What is art?	İncəsənət nədir?
Am I in love?	Mən aşiqəm?
Are you busy?	Məşğulsunuz?
Are you sure?	Əminsən?
Blood is red.	Qan qırmızıdır.
Did Tom know?	Tom bilirdi?
Do you smoke?	Çəkirsən?
Do you smoke?	Siqaret çəkirsiniz?
Examine them.	Yoxlayın onları.
Find the cat.	Pişiyi tap!
Ghosts exist.	Ruhlar mövcuddurlar.
Happy Easter!	Pasxa bayramınız mübarək!
He was young.	O gənc idi.
I apologized.	Mən üzr istədim.
I ate apples.	Mən almaları yedim.
I did my job.	Mən öz işimi gördüm.
I don't know.	Mən bilmirəm.
I have a son.	Mənim oğlum var.
I want money.	Pul istəyirəm.
I was asleep.	Mən yatıb qalmışdım.
I won't bite.	Dişləməyəcəm.
I'm a writer.	Mən yazıçıyam.
I'm no saint.	Mən müqəddəs deyiləm.
Is this love?	Bu sevgidir?
It was black.	Qara idi.
It's not bad.	Pis deyil.
It's snowing.	Qar yağır.
Life goes on.	Həyat davam edir.
My ears hurt.	Qulaqlarım ağrıyır.
She is young.	O cavandır.
Sweet dreams!	Şirin yuxular!
Sweet dreams!	Yuxun şirin olsun!
They hate us.	Onlar bizə nifrət edirlər.
They're boys.	Onlar oğlandırlar.
They're free.	Onlar azaddırlar.
Tom is young.	Tom cavandır.
Tom was home.	Tom evdə idi.
Unbelievable!	İnanılmaz!
We heard you.	Biz səni eşitdik.
We know this.	Biz bunu bilirik.
We're a team.	Biz komandayıq.
What is this?	Bu nədir?
You are rude.	Kobudsan.
You are rude.	Siz kobudsunuz.
You know how.	Sən bilirsən necə.
You're brave.	Sən cəsursan.
You're drunk.	Siz sərxoşsunuz!
Are you crazy?	Dəlisən?
He lied to us.	O bizə yalan dedi.
He smells bad.	Ondan pis iy gəlir.
His nose bled.	Onun burnu qanadı.
How's the dog?	İt necədir?
I hate onions.	Soğandan zəhləm gedir.
I like trains.	Qatarlardan xoşum gəlir.
I love autumn.	Mən payızı sevirəm.
I love garlic.	Sarımsaq xoşlayıram.
I love spring.	Mən yazı sevirəm.
I quite agree.	Tamamilə razıyam.
I see the dog.	İti görürəm.
I was singing.	Mən oxuyurdum.
I'm an orphan.	Mən yetiməm.
I'm dangerous.	Mən təhlükəliyəm.
I'm in my car.	Mən maşınımın içindəyəm.
I'm not blind.	Mən kor deyiləm.
Is Tom guilty?	Tom günahkardır?
It gets worse.	Pisə doğru gedir.
It gets worse.	Pişləşir.
It's not easy.	Bu asan deyil.
My car is red.	Mənim maşınım qırmızıdır.
My head aches.	Mən başım ağrıyır.
My head hurts.	Başım ağrıyır.
Open the door.	Qapını aç!
Open the door.	Qapını açın!
Our team lost.	Bizim komandamız uduzdu.
Send it to me.	Bunu mənə göndər.
She avoids me.	O məndən qaçır.
She hates him.	O ona nifrət edir.
She is crying.	O ağlayır.
She's my wife.	O mənim arvadımdır.
Take Tom home.	Tomu evə apar!
That's my cat.	O mənim pişiyimdir.
The war ended.	Müharibə sona çatdı.
This is Japan.	Bu Yaponiyadır.
This is a pen.	Bu qələmdir.
Tom came home.	Tom evə gəldi.
Tom disagreed.	Tom razılaşmadı.
Tom found one.	Tom birini tapdı.
Tom has a car.	Tomun maşını var.
Tom knew this.	Tom bunu bilirdi.
Tom was alone.	Tom tək idi.
Tom went home.	Tom evə getdi.
Tom will call.	Tom zəng vuracaq.
Tom's waiting.	Tom gözləyir.
Wait a second.	Bir saniyə gözlə.
We both cried.	Biz ikimiz də ağladıq.
We caught Tom.	Biz Tomu tutduq.
We met before.	Biz əvvəl görüşmüşük.
We want peace.	Biz sülh istəyirik.
We were drunk.	Sərxoş idik.
We're friends.	Biz dostuq.
We're thieves.	Biz oğruyuq.
Who disagreed?	Kim razılaşmadı?
You have wine.	Sizin şərabınız var.
You have wine.	Sənin şərabın var.
Are you crying?	Ağlayırsan?
Autumn is here.	Payız gəldi.
Cats are smart.	Pişiklər ağıllıdırlar.
Close the book.	Kitabı bağla.
Close the book.	Kitabı ört.
Do we know you?	Biz sizi tanıyırıq?
Don't complain.	Şikayətlənmə.
Don't stop him.	Saxlama onu!
Everybody lies.	Hamı yalan danışır.
Guess who I am.	Tap mən kiməm!
Happy New Year!	Yeni iliniz mübarək!
He is a doctor.	O, həkimdir.
He needs money.	Ona pul lazımdır.
He sang a song.	O mahnı oxudu.
Hide the money.	Pulu gizlət!
I am a teacher.	Mən müəlliməm.
I am in London.	Mən Londondayam.
I hate spinach.	İspanaqdan zəhləm gedir.
I hate to wait.	Gözləməkdən zəhləm gedir.
I have no time.	Mənim vaxtım yoxdur.
I like lettuce.	Mən kahı xoşlayıram.
I like to work.	İşləmək mənim xoşuma gəlir.
I like to work.	Mən işləməyi sevirəm.
I need a knife.	Mənə bıçaq lazımdır.
I saw the cook.	Mən aşpazı gördüm.
I usually walk.	Mən adətən piyada gedirəm.
I will take it.	Mən bunu götürəcəm.
I'm a bachelor.	Subayam.
I'm dead tired.	Taqətdən düşmüşəm.
I'm not a fool.	Mən axmaq deyiləm.
I'm undressing.	Mən soyunuram.
I'm used to it.	Mən buna öyrəşmişəm.
It wasn't easy.	Bu asan deyildi.
It's not blood.	Bu qan deyil.
It's too small.	Bu çox balacadır.
It's up to you.	Səndən asılıdır.
My joints ache.	Oynaqlarım ağrayır.
My nose itches.	Burnum qaşınır.
Open your eyes.	Gözlərinizi açın.
Open your eyes.	Gözlərini aç.
She gave money.	O pul verdi.
She is a nurse.	O, tibb bacısıdır.
