Hi.	Здрасти.
Hello!	Здравейте!
Cheers!	Наздраве!
Got it?	Разбра ли?
I'm OK.	ОК съм.
I'm OK.	Наред съм.
No way!	Абсурд!
No way!	В никакъв случай!
Really?	Сериозно?
Thanks.	Мерси.
Ask Tom.	Питай Том.
Ask Tom.	Питайте Том.
Ask Tom.	Попитайте Том.
Ask Tom.	Попитай Том.
Ask Tom.	Помоли Том.
Be cool.	Дръж се като пич.
Be cool.	Споко!
Get out!	Излизай!
Get out!	Излизайте!
Go away!	Върви си!
Go away!	Махай се!
Go away!	Ходи си!
Go away!	Вървете си!
Go away!	Махайте се!
Go away!	Ходете си!
Go away!	Изчезвай!
Go away.	Ходи си.
Go away.	Върви си.
Go away.	Махай се.
Go away.	Махайте се.
Go away.	Вървете си.
He runs.	Бяга.
He runs.	Тича.
I'm sad.	Тъжен съм.
It's OK.	Всичко е наред.
Me, too.	И аз, също.
Me, too.	И аз така.
Me, too.	Аз също.
See you.	До скоро.
Show me.	Покажи ми.
Welcome.	Добре дошъл!
You run.	Тичаш.
You run.	Бягаш.
You run.	Тичате.
You run.	Бягате.
Get lost.	Изчезвай.
Get lost.	Изчезвайте.
Have fun.	Забавлявай се.
Have fun.	Забавлявайте се.
Hurry up.	Побързай!
I forgot.	Забравих.
I forgot.	Аз забравих.
I'll pay.	Ще платя.
I'll pay.	Аз ще платя.
I'm full.	Наситих се.
I'm full.	Наядох се.
I'm full.	Пълен съм.
I'm poor.	Беден съм.
I'm rich.	Богат съм.
It's hot.	Горещо е.
Let's go!	Хайде!
Let's go!	Хайде да тръгваме!
Let's go!	Давай!
Let's go!	Да вървим!
Let's go.	Хайде!
Let's go.	Хайде да тръгваме!
She runs.	Бяга.
She runs.	Тича.
Use this.	Използвай това.
We agree.	Съгласни сме.
Birds fly.	Птиците летят.
Calm down.	Успокой се.
Chill out.	Успокой се.
Chill out.	Успокой малко топката.
Do it now.	Направи го сега.
Don't die.	Не умирай.
Excuse me.	Извини ме.
Excuse me.	Извинете ме.
Excuse me.	Извинявай.
Excuse me.	Извинете.
Forget it.	Забрави.
Go inside.	Влез вътре.
Go inside.	Прибери се.
Go inside.	Влезте вътре.
I gave up.	Отказах се.
I gave up.	Аз се отказах.
I give in.	Аз се отказвам.
I give up.	Отказвам се.
I give up.	Аз се предавам.
I laughed.	Аз се изсмях.
I laughed.	Аз се смеех.
I laughed.	Смях се.
I laughed.	Смеех се.
I laughed.	Изсмях се.
I lost it.	Изгубих го.
I lost it.	Превъртях.
I met him.	Видях го.
I met him.	Срещнах се с него.
I'm a man.	Аз съм мъж.
I'm early.	Подранил съм.
I'm early.	Подранила съм.
I'm sorry.	Извинявай.
I'm sorry.	Съжалявам.
I'm sorry.	Извинявам се.
I'm sorry.	Извинявайте.
I'm tired.	Изморен съм.
I'm tired.	Изморена съм.
I'm tired.	Уморен съм.
I'm tired.	Уморена съм.
I'm young.	Млад съм.
Is it bad?	Зле ли е?
Is it bad?	Лошо ли е?
It's cold.	Студено е.
It's free.	То е свободно.
It's free.	Безплатно е.
It's true!	Вярно е!
It's work.	Работа е.
Let's ask.	Дай да питаме.
Let's ask.	Да попитаме.
Let's eat.	Хайде да ядем.
Let's eat.	Да хапнем.
Let's see.	Да видим сега.
Let's try!	Да пробваме!
Of course!	Разбира се!
Of course.	Разбира се.
Start now.	Започнете сега.
Start now.	Започни сега.
Start now.	Започвай сега.
Start now.	Започвайте сега.
They swam.	Те плуваха.
Tom knits.	Том плете.
What's up?	Какво става?
Who cares?	На кого му пука?
You drive.	Ти карай.
You idiot!	Идиот такъв!
Am I clear?	Ясен ли съм?
Am I clear?	Ясна ли съм?
Am I dying?	Умирам ли?
Am I early?	Подранил ли съм?
Am I early?	Подранила ли съм?
Am I fired?	Уволнен ли съм?
Am I fired?	Уволнена ли съм?
Am I first?	Аз ли съм пръв?
Am I first?	Аз ли съм първа?
Am I hired?	Назначен ли съм?
Am I hired?	Назначена ли съм?
Am I wrong?	Греша ли?
Be careful!	Внимавай.
Be careful!	Внимавай!
Be careful!	Внимавайте!
Be careful!	Бъди внимателен!
Be careful!	Бъди внимателна!
Be careful!	Бъдете внимателни!
Be careful!	Внимавайте.
Be careful.	Внимавай.
Be careful.	Внимавайте.
Be on time.	Бъди точен.
Be on time.	Бъди точна.
Be on time.	Бъдете точни.
Birds sing.	Птиците пеят.
Cut it out!	Престани!
Cut it out!	Престанете!
Don't jump!	Не скачай!
Don't jump!	Не скачайте!
Don't move.	Не мърдай.
Don't move.	Не мърдайте.
Don't move.	Недей да местиш.
Don't move.	Недейте да се местите.
Don't talk!	Не приказвай!
Fill it up.	Запълни го.
Fill it up.	Напълни го.
Follow him.	Следвай го.
Follow him.	Последвайте го.
God exists.	Бог съществува.
He is nice.	Той е мил.
He is nice.	Той е хубав.
I can jump.	Аз мога да скачам.
I eat here.	Аз ям тук.
I found it.	Намерих го.
I know him.	Аз го знам.
I know him.	Аз го познавам.
I like you.	Аз те харесвам.
I love you.	Обичам те.
I need you.	Трябваш ми.
I need you.	Нуждая се от теб.
I need you.	Имам нужда от вас.
I remember.	Спомням си.
I think so.	Така мисля.
I think so.	Аз мисля така.
I want you.	Искам те.
I'll do it.	Ще го направя.
I'm a hero.	Аз съм герой.
I'm a twin.	Аз съм близнак.
I'm coming.	Идвам.
I'm coming.	Аз идвам.
I'm for it.	Аз съм "за".
I'm hungry!	Гладен съм!
I'm hungry!	Аз съм гладен!
I'm hungry.	Гладен съм.
I'm hungry.	Гладна съм.
I'm so fat.	Толкова съм дебел.
I'm so fat.	Толкова съм дебела.
It happens.	Случва се.
Keep still.	Не се движи.
Let's chat.	Да си побъбрим.
Let's kiss.	Да се целунем.
Let's move.	Да тръгваме.
Let's play.	Хайде да играем.
Let's pray.	Да се помолим.
Let's sing.	Да пеем.
Let's swim.	Да поплуваме.
Let's swim.	Да плуваме.
Let's talk.	Да поговорим.
Let's vote.	Да гласуваме.
Let's vote.	Хайде да гласуваме.
Let's work.	Да работим.
Let's work.	Хайде на работа.
No comment.	Без коментар.
No kidding?	Без майтап?
Once again.	Отново.
Once again.	Още веднъж.
Take a bus.	Вземи автобуса.
Take a bus.	Вземете автобуса.
Time flies.	Времето лети.
Tom jumped.	Том скочи.
Try harder.	Потруди се повече.
We are men.	Ние сме мъже.
We are men.	Мъже сме.
We're boys.	Ние сме момчета.
Who's that?	Кой е този?
Wood burns.	Дървото гори.
You may go.	Можеш да тръгваш.
You may go.	Можеш да си ходиш.
You may go.	Можеш да отидеш.
All is well.	Всичко е наред.
Are we lost?	Загубихме ли се?
Are we lost?	Да не сме се загубили?
Are we safe?	Безопасно ли е?
Are you cut?	Поряза ли се?
Are you hot?	Горещо ли ти е?
Ask for Tom.	Извикай Том.
Ask for Tom.	Питай за Том.
Ask for Tom.	Поискай да извикат Том.
Check again.	Проверете отново.
Don't do it!	Не го прави!
Don't do it!	Недей!
