Wow!	Carai!
I left.	M'en vaig anar.
Really?	De veritat?
Thanks.	Gràcies!
Goodbye!	Adéu!
Hurry up.	Afanya't.
Too late.	Massa tard.
Thank you.	Gràcies!
Can I help?	Puc ajudar?
I envy him.	L'envejo.
I love you.	T'estimo.
Time flies.	El temps vola.
I like cats.	M'agraden els gats
I'm 17, too.	Jo també tinc 17 anys.
I'm at home.	Estic a casa.
Make a wish.	Demana un desig
Money talks.	Qui paga, mana.
We love you.	T'estimem.
We love you.	Us estimem.
Who are you?	Qui ets tu?
Who are you?	Qui és vostè?
Who are you?	Qui ets?
Who are you?	Qui sou?
Come with us.	Vine amb nosaltres.
He has a dog.	Ell té un gos.
She stood up.	Ella es va aixecar.
Hi, everybody.	Hola a tots.
I'm desperate.	Estic desesperat.
Let me try it.	Deixa'm intentar-ho.
You look good.	Tens bona cara.
You look good.	Fas bona cara.
You look good.	Fas bon aspecte.
Are you insane?	Estàs boig?
Can I help you?	Puc ajudar?
Happy New Year!	Bon any nou!
I need a stamp.	Necessito un segell.
I saw him jump.	El vaig veure saltar.
Leave me alone!	Deixa'm en pau!
This is a fish.	Això és un peix.
This is a fish.	Açò és un peix.
Tom can't swim.	En Tom no sap nedar.
Who painted it?	Qui ho ha pintat?
Whose are they?	De qui són?
Her book is red.	El seu llibre és roig.
I didn't say it.	No ho he dit pas.
I felt the same.	Em sentia igual.
I have two cats.	Tinc dos gats.
I speak Swedish.	Parlo suec.
It's your fault.	És culpa teva.
Who are you all?	Qui sou tots vosaltres?
Who are you all?	Qui sou totes vosaltres?
Here is your bag.	Aquí és la teva bossa.
Here is your bag.	Ací està la teua bossa.
Here is your bag.	Ací tens la teua bossa.
I am now on duty.	Ara estic de servei.
I ate the cheese.	Em vaig menjar el formatge.
I have a problem.	Tinc un problema.
I have a problem.	Tinc un maldecap.
I have no family.	No tinc família.
I work in a bank.	Jo treballo a un banc.
I wrote a letter.	Vaig escriure una carta.
I'm already late.	Ja faig tard.
I'm not a doctor.	Jo no sóc metge.
Let go of my arm.	Deixa'm anar el braç.
She lives nearby.	Viu aquí prop.
They're my books.	Són els meus llibres.
This is your dog.	Aquest és el teu gos.
Tom isn't hungry.	Tom no té fam.
Tom walked alone.	En Tom caminava sol.
What is going on?	Què hi ha?
What is going on?	Què passa?
Who are you with?	Amb qui estàs?
Who are you with?	Amb qui esteu?
He went back home.	Ell va tornar a casa.
