Hello!	Oy!
Oh no!	Ayaw intawon!
No way!	Dili puyde!
Go away!	Layas!
Go away.	Layas.
Goodbye!	Pag-ayo-ayo dinhi!
Shut up!	Hilom!
Shut up!	Hilom diha!
Welcome.	Maayong pag-abot!
Hurry up.	Pagdali.
Let's go!	Ta na!
Let's go!	Tana!
Come here.	'Mari ka.
Come here.	Mari ka.
I'm sorry.	Pasayloa ko.
I'm tired.	Gikapoy ko.
I love you.	Gihigugma ta ka.
I'm hungry!	Gigutom ko.
We're fair.	Makiangayon man mi.
We're fine.	Maayo man mi.
We're here.	Dia ra mi.
We're home.	Nia mi sa balay.
We're late.	Ulahi mi.
We're lazy.	Tapolan mi.
We're lost.	Nasaagmi.
We're poor.	Kabos mi.
We're rich.	Dato mi.
We're safe.	Luwas mi.
We're sick.	Masakiton mi.
We're sunk.	Naunlod mi.
We're tidy.	Himos mi.
We're weak.	Huyang mi.
What a day!	Grabeng adlawa!
What's new?	Unsay bag-o?
Who are we?	Si kinsa ba kita?
Who did it?	Kinsay mibuhat ato?
Who has it?	Kinsay naay ing-ato?
Who is Tom?	Kinsa nang Tom?
Who is she?	Kinsa na siya?
Who phoned?	Kinsay nanawag?
Who saw me?	Kinsa toy nakakita nako?
Who stayed?	Kinsay nabilin?
Who talked?	Kinsay misulti?
Who was it?	Kinsa gani to?
Who yelled?	Kinsay misiyagit?
Who's here?	Kinsay nia?
Who's next?	Kinsay sunod?
Who's that?	Kinsa na?
Wood burns.	Ang kahoy mosilaob.
You can go.	Adto kaw.
You did it.	Nabuhat mo.
You got it.	Sakto ka.
You may go.	Puyde ka nang mohawa.
You missed.	Sipyat ka.
Don't worry.	Ayawg kaguol.
How are you?	Unsa na man?
How are you?	Kumusta?
I'm thirsty.	Giuhaw ko.
Who are you?	Kinsa diay ka?
A bug bit me.	Gipaak ka ba og insekto?
Are you sure?	Segurado ka?
I am curious.	Buot ko masayod.
I don't know.	Ambot.
I want to go.	Moadto na ko.
Are you happy?	Malipayon ka ba?
Are you tired?	Gikapoy ka?
He got caught.	Gidakop siya.
They all know.	Kahibalo sila tanan.
We have a dog.	Duna miy iro.
Where are you?	Hain ka karon?
Are you hungry?	Gigutom ka?
Bring a camera.	Pagdala og camera.
Can I help you?	Tabangan ta ka na?
Do you love me?	Imo ba kong gihigugma?
Happy New Year!	Bulahang Bag-ong Tuig!
Leave me alone!	Pasagdi ko!
Please join me.	Palihog nunot kanako.
Please move on.	Sibog na intawon.
Are you married?	Minyo ka ba?
Congratulations!	Pahalipay!
Congratulations!	Pasidungog!
How old are you?	Pilay imong edad?
I can't see you.	Dili ko makakita nimo.
I can't see you.	Dili ko kakita nimo.
I have two cats.	Duhay akong iring.
Please continue.	Padayon palihog.
Please sit down.	Palihog lingkod.
Please visit me.	Duawa ko palihog.
They won't know.	Dili sila kabalo.
Do you live here?	Taga dinhi ka?
I don't know why.	Wala ko kahibalo ngano.
