Call home!	Киле шӑнкӑравла.
I love you.	Эпӗ сана саватӑп.
Anyone hurt?	Аманнисем пур и?
Be tolerant.	Толерантлӑ пул.
I hate dogs.	Йытӑсене кураймастӑп.
Are you sure?	Чӑнах и?
Tom's guilty.	Том айӑплӑ.
I have a home.	Манӑн пӳрт пур.
Speak quietly.	Шӑпӑрт калаҫ.
That's a fish.	Ку пулӑ.
Are you hungry?	Эсӗ выҫӑ и?
Happy New Year!	Телейлӗ Ҫӗнӗ Ҫул!
He looks happy.	Вӑл телейлӗ курӑнать.
I need a towel.	Мана алшӑлли кирлӗ.
It's not funny.	Кулӑш мар ку!
My tooth hurts.	Шӑлӑм ыратать.
What do you do?	Мӗн тӑватӑн?
What do you do?	Мӗн ӗҫлетӗн?
I bought a book.	Эпӗ кӗнеке илтӗм.
I was skeptical.	Эпӗ шанӑҫсӑрлӑччӗ.
It works for me.	Ку мана валли ӗҫлеть.
It's not a joke.	Ку шӳт мар!
There was music.	Ку музыкӑччӗ.
We'll need that.	Ҫак пире кирлӗ пулӗ.
I didn't like it.	Ку мана килӗшменччӗ.
I like chocolate.	Шоколад юрататӑп.
I live near here.	Кунтан ҫывӑхах пурӑнатӑп.
I play in a band.	Ушкӑнра вылятӑп.
I want us to win.	Эпир ҫӗнтерсе илнине кӑмӑллатӑп.
Let's have a try.	Айта ҫӑрӑлса пӑхар!
Lower your voice.	Сассуна пӗчӗклет.
No one will know.	Никам та пӗлместь.
She is beautiful.	Вӑл чипер.
Tom is your boss.	Том сирӗн босс.
Are you a student?	Эсӗ вӗренетӗн и?
I went for a swim.	Эпӗ ишме кайнӑ.
I went for a swim.	Эпӗ шыва кӗме кайнӑ.
I work at the zoo.	Зоопаркра ӗҫлетӗп.
It was a bad idea.	Вӑл япӑх шухӑшччӗ.
Read it once more.	Вула куна тата тепӗр хут.
They went fishing.	Вӗсем пулла кайрӗҫ.
We don't have tea.	Чӗй ҫук.
Where's my father?	Кӑҫта манӑн атте?
Do I have to study?	Вӗренмелле ши?
I told him to come.	Уна кил тесе каларӑм.
The sun is shining.	Хӗвел ҫутатать.
Tom is at his desk.	Том сӗтел умӗнче.
Tom isn't drinking.	Том ӗҫместь.
Tom loves his wife.	Том арӑма юратать.
Why are you crying?	Ма эсир макӑратӑр?
You're my girl now.	Эсӗ халь манӑн хӗр.
Go jump in the lake.	Кӳлӗ кайса сик.
I am reading a book.	Кӗнеке вулатӑп.
I forgot to ask him.	Унран ыйтма манса кайрӑм.
I study mathematics.	Эпӗ математика вӗренетӗп.
That's why I'm here.	Ҫавӑнпа кунта эпӗ.
We know how to swim.	Эпир мӗнле ишмеллине пӗлетпӗр.
Why don't you start?	Мӗншӗн пуҫламастӑн.
Did you do your work?	Хӑвӑн ӗҫне турӑн и?
I know what happened.	Мӗн пулнине пӗлетӗп.
They walked together.	Вӗсем пӗрле ҫӳреттчӗҫ.
Does she like oranges?	Вӑл апельсин юратать и?
I never liked biology.	Биологи нихӑҫан та юратман.
I want to be like Tom.	Эпӗ Том пек пуласшӑн.
I want to be like Tom.	Манӑн Том пек пулассӑм килет.
I'll find another job.	Тата тепӗр ӗҫ шыраса тупатӑп.
Tom is big and strong.	Том пысӑк та хӑватлӑ.
Tom is big and strong.	Том пыӑк та вӑйлӑ.
Why did you come here?	Мӗн тума кунта килтӗн?
Did you see him go out?	Вӑл тула тухса кайнине куртӑн и?
I asked what was wrong.	Эпӗ мӗн тӗрӗс мар тесе ыйтрӑм.
I can handle it myself.	Ҫакна хамах татса параятӑп.
Mom, can I go swimming?	Анне, шыва кӗмӗ юрать и?
People are complicated.	Ҫынсем вӗсем кӑткӑс.
What made you think so?	Сире мӗн кумпек шухӑшлатталать?
You did a splendid job.	Чаплӑ ӗҫ турӑн.
You did a splendid job.	Питӗ аван ӗҫ турӑн.
She speaks good English.	Унӑн акӑлчанла калаҫӑвӗ лайӑх.
She visited the teacher.	Вӑл вӗрентӳҫӗ патне кайса килчӗ.
Tell me about this girl.	Ҫак хӗр пирки каласа парсам.
They got onto the plane.	Вӗҫмеке хӑпарчӗҫ.
Tom is a grumpy old man.	Том хаяр ҫын.
What's your nationality?	Наципе кам эсир?
He looks like he's drunk.	Вӑл ӗҫнӗ пек курӑнать.
I can't live without Tom.	Томсӑр пурӑнаймастӑп.
I learned a lot from him.	Унран нуммай мӗн вӗрентӗм.
Please take note of that.	Тархасшӑн, ҫакна ҫырса хурӑр.
Tom is no longer a child.	Том ачаран ҫӳллех мар.
We are worried about you.	Эпир саншӑн куллянатпӑр.
What was Tom's last name?	Том хушамачӗ мӗнлеччӗ?
What was Tom's last name?	Томӑн мӗнле хушаматччӗ?
Call me whenever you want.	Шӑнкӑравлас килсессӗн шӑнкӑравла.
Did you see anybody there?	Кама та пулин унта куртӑн и?
Everyone should know this.	Кашни ҫынӑн ҫакна пӗлмелле.
I won't forget any of you.	Сире никама та манмастӑп.
That's the absolute truth.	Ку чӑн тӗрӗс!
We'll meet in the theater.	Эпир театӑрта тӗл пулӑпӑр.
Why have you abandoned me?	Мӗншӗн эсӗ мана пӑрахса хӑвартӑн?
You should write a letter.	Санӑн ҫыру ҫырмалла.
You should write a letter.	Сирӗн ҫыру ҫырмалла.
You should write a letter.	Санӑн ҫыру ҫыраспӑть.
You should write a letter.	Сирӗн ҫыру ҫыраспӑть.
A minute has sixty seconds.	Пӗр минутра утмӑл ҫеккунт.
How much money do you want?	Мӗн чухлӗ укҫа сире кирлӗ?
I can't find the newspaper.	Хаҫат тупаймастӑп.
