Help!	Uhupai!
Stop!	Kada koti!
Hello!	Kopiwosian!
I know.	Koilo' oku bo.
Really?	Gia?
Be nice.	Maan do sumonong-sonong kio.
Come in.	Suangai.
Get out!	Ongoi id labus!
Goodbye!	Hino ko' no!
Help me.	Uhupai oku!
Help us.	Uhupai tokou.
Shut up!	Kadaada!
Welcome.	Miagal nopo.
Am I fat?	Olombon oku toi?
Have fun.	Alansan no daa aramai kou hino.
Help Tom.	Ongoi uhupai i Tom.
How nice!	Osonong!
Hurry up.	Sikapai!
I'm fine.	Osonong oku ih.
Let's go!	Kaino!
Let's go!	Kanou!
Stand up!	Ingkakat no!
What for?	Nunu dii?
Calm down.	Potoboyo.
Forget it.	Lihuai no.
He shaved.	Nokobugar yau.
I'm alone.	Osongulun oku ih.
I'm sorry.	Siou.
I'm sorry.	Ompunai oku.
I'm sorry.	Mokiampun oku.
It's cold.	Osogit.
It's okay.	Osonong-sonong bo.
Nice shot!	Kihoi!
Take this.	Onuo ti.
What's up?	Nu habar nu?
Who knows?	Isai nokoilo'?
You tried.	Umbalan nu.
Am I wrong?	Nasala oku?
Be careful.	Intang-intangan kio.
Don't move.	Kada kogura.
Follow him.	Tonudo isio.
Forget him.	Lihuai kaka isio.
He is nice.	Otinuud yau lo.
I am a man.	Yoku nopo nga kusai.
I hate you.	Araatan oku dika.
I hate you.	Araatan oku dikoyu.
I love her.	Muhang oku disido.
I miss you.	Lumangad oku diya.
I need you.	Manu oku diya.
I'm hungry!	Louson tian ku!
I'm so fat.	Olombon oku kopio.
Ignore him.	Pologoso kaka isio.
Look it up.	Tingaha no.
She smiled.	Kongingis isido.
She's nice.	Otinuud yau lo.
Tom helped.	Monguhup i Tom.
Are you mad?	Otogod ko'?
Can you see?	Kokito ko' dii?
Do it again!	Maai po kaagu!
How are you?	Nu habar nu?
I can share.	Milo' oku maan do piuhupan.
I like beer.	Orohian oku do biir.
I like cats.	Orohian oku do tungau.
I trust you.	Otumbayaan ku diya.
I'm working.	Kumaraja oku.
Is it yours?	Iya lo?
It happened.	Nokoontok ti.
She's crazy.	Mulau yau.
Tom was out.	Luminabus i Tom.
We'll share.	Maan tokou pogiilang-ilangon.
What's this?	Nunu iti?
Where is he?	Honggo isio?
Who are you?	Isai ko'?
Who cheated?	Isai goudut?
Am I in love?	Miupus oku nangku dii?
Are you lost?	Napalid ko' no?
Do you smoke?	Monigup ko' no?
Drive slowly.	Logot-logoton do papapanau korita kio.
I am Chinese.	Yoku nopo nga i tulun Sina.
