Run!	Korri!
Jump.	Salto egin.
Stop!	Geldi!
Attack!	Eraso!
Really?	Ez da izango!
Is it bad?	Txarra al da?
It's cold.	Hotza dago.
Of course!	Noski!
Forgive me.	Barkatu
I love golf.	Golfak liluratu egiten nau.
I want more.	Gehiago nahi dut.
Keep trying.	Probatzen jarraitu.
Unbelievable!	Sinestezina!
He's not sick.	Ez dago gaixorik.
I love my mom.	Gure ama maite dut.
It is raining.	Euria ari du.
They're awake.	Esna daude.
Here's the car.	Hemen da autoa.
I'm an old man.	Agure bat naiz.
I'm bored here.	Aspertuta nago hemen.
Is he a doctor?	Doktorea da?
Tom's Canadian.	Tom Kanadarra da.
Do you remember?	Gogoratzen al zara?
He likes tigers.	Tigreak gustoko ditu.
Here is the car.	Hemen da autoa.
I have two cats.	Bi katu dauzkat.
I need you, Tom.	Zu beher zaitut, Tom.
I read a letter.	Eskutitz bat irakurtzen ari naiz.
It's a surprise.	Sorpresa bat da.
This won't hurt.	Hau ez du minik emango.
Tom can't dance.	Tom ezin du dantzarik egin.
Tom chose a hat.	Tom kapela bat aukeratu zuen.
Turn on the gas.	Gasa piztu.
He is not stupid.	Ez da tentela.
How can Tom help?	Nola lagundu ahal du Tomek?
I agree with him.	Harekin bat nator.
I have Tom's key.	Tomen giltza daukat.
I have to fix it.	Hori konpondu behar dut.
The train's late.	Trena berandu doa.
This is my money.	Hau nire dirua da.
Tom dressed well.	Tomek ondo jantzi zen.
Tom dresses well.	Tomek ondo janzten da.
Tom is fixing it.	Tom konpontzen hari du.
Where is my comb?	Nire orrazia non da?
Will Tom do that?	Tomek hori egingo zuen?
French isn't easy.	Frantsesa ez da erraza.
He is intelligent.	Inteligentea da.
I sat on the sofa.	Sofan eseri nintzen.
I will choose one.	Bat hautatuko dut.
I won first place.	Lehen postua irabazi nuen.
Is this important?	Importantea da hau?
It's our pleasure.	Pozten gara.
May I leave early?	Goiz atera ahal naiz?
Please correct it.	Zuzendu, mesedez.
She hates running.	Korrika egitea ez du batere gogoko.
That's a big fish.	Hori arrain handia da.
The book is small.	Liburua txikia da.
They were in love.	Maitemindurik zeuden.
They were on sale.	Salgai zeuden.
They weren't busy.	Ez ziren lanpeturik.
This has been fun.	Jostagarria izan da hau.
This is Tom's car.	Hau Tom-en autoa da.
This is a problem.	Hau problema bat da.
This is a tragedy.	Hau trajedia da.
This is for keeps.	Hau betiko da.
This is my family.	Hau gure familia da.
This is our fault.	Hori gure errua da.
This is our house.	Hauxe da gure etxea.
This is your stop.	Hau zure geldialdia da.
This isn't a trap.	Hau ez da tranpa.
This isn't for me.	Hau ez da niretzat.
This isn't my car.	Hau ez da nire autoa.
This room is cold.	Gela hau hotza da.
This was my fault.	Ene errua izan da.
Time's on my side.	Denbora gure alde.
Tom didn't scream.	Tomek ez zuen oihukatu.
Who made the doll?	Nork egin zuen panpina?
You may park here.	Hemen aparkatu dezakezu.
Aren't you worried?	Kezkatuta ez al zaude?
Does he have money?	Ba al du dirurik?
Dogs are like that.	Txakurrak horrekoak dira.
I coughed up blood.	Odola eztul nuen.
I looked around me.	Nire inguruan begiratu nuen.
I lost my passport.	Nire pasaportea galdu nuen.
I'm Mary's husband.	Mary-ren senarra naiz.
I'm very forgetful.	Oso ahazkorra naiz.
I'm very forgetful.	Ahazkorra naiz oso.
It's not important.	Ez du garrantzirik.
It's very hot here.	Bero asko egiten du hemen.
Tom does that, too.	Tomek hori egiten du ere bai
What are you doing?	Zer ari zara egiten?
What is that sound?	Zer da soinu hori?
Aren't you Canadian?	Kanadarra ez al zara?
Aren't you a singer?	Abeslaria ez al zara?
Aren't you finished?	Amaitu ez al duzu?
Cyprus is an island.	Zipre uharte bat da.
Do you like my hair?	Nire ilea gustatzen zaizu ?
Give me back my bag.	Emaidazu atzera nire poltsa.
I don't like flying.	Ez zait hegan egitea gustatzen.
I get scared easily.	Oso erraz beldurtzen naiz.
I had fun in Boston.	Bostonen ondo pasatu nuen
I have a dishwasher.	Ontzi-garbitzaile bat dut.
I have to repair it.	Hori konpondu behar dut.
I have to stop them.	Gelditu behar diet.
I know Tom did that.	Badakit Tomek hori egin zuela.
I like it very much.	Oso atsegin dut.
I like snowboarding.	Snowboard-a egitea gustatzen zait.
I play the trombone.	Tronboia jotzen dut.
I saw Tom in Boston.	Tomek Boston ikusi nuen.
I should thank them.	Eskertu beharko nieke.
I won't do it again.	Ez dut berriro egingo.
I'll tell the truth.	Egia esango dut
I'll tell the truth.	Egia esango dut.
I'll try to find it.	Bilatzen saiatuko naiz
I'll try to find it.	Aurkitzen saiatuko naiz.
I'm not always late.	Ez naiz beti berandu iristen.
I'm sick of burgers.	Azkenean Tom garaitu nuen.
I've lost my wallet.	Diru-zorroa galdu dut.
Is it far from here?	Hemendik urrun al dago?
It's a big decision.	Erabaki garrantzitsua da.
It's very cold here.	Hotz asko egiten du hemen.
Listen to the birds.	Entzun txoriak.
My notebook is pink.	Nire kuadernoa ez de arrosa.
She has convulsions.	Konbultsioak zeuzkan.
This is Tom's house.	Hau Tomek etxea da.
This was my mistake.	Hau nire errua izan da.
Tom did that for me.	Tomek hori egin zuen nigatik.
Tom drove all night.	Tomek gau osoa gidatu uen.
Tom is always tired.	Tomek beti nekatuta dago.
Tom said I did that.	Tomek hori egin nuela esan zuen.
Tom saved our lives.	Tomek gure bizitzak salbatu zituen.
We're among friends.	Lagunen artean gaude.
What should I bring?	Zer eraman behar dut?
When will it happen?	Noiz gertatuko da?
Where are you going?	Nora zoaz?
Where's Tom's watch?	Non dago Tom-en erlojua?
Who's Tom afraid of?	Zertaz da Tom beldur?
Why is Tom standing?	Zergatik dago Tom altxatuta?
Why isn't Tom tired?	Zergatik ez dago nekatuta Tom?
Would you like some?	Apur bat nahiko zenuke ?
Are those Tom's sons?	Horiek dira Tom-en semeak?
Did Tom do that well?	Tomek hori ondo egin ahal zuen?
Did the car look old?	Autoa zaharra al zirudien?
Do you like football?	Futbola gustatzen zaizu ?
Do you not like them?	Ez dituzu gustuko ?
Don't go there alone.	Ez zaitez joan bakarrik.
Get out of the house.	Etxetik irten zaitez
I got a B in physics.	B bat daukat fisikan.
I think I understood.	Uste dut ulertu nuela
I wake up very early.	Oso goiz jaikitzen naiz.
I'm Tom's new lawyer.	Tom-en abokatu berria naiz
This book is smaller.	Liburu hau txikiagoa da.
Tom isn't doing that.	Tomek ez dago hori egiten.
Tom just kept eating.	Tomek jaten jarraitu zuen.
Tom was up all night.	Tom gau guztia altxatuta eman zuen.
