Turn left.	Vira á esquerda.
I'm a hero.	Son un heroe.
Don't worry.	Non vos preocupedes.
I like cats.	Gústanme os gatos.
I'm thirsty.	Teño sede.
Surprise me.	Sorpréndeme.
He has a dog.	El ten un can.
I am all ears.	Son todo ouvidos.
We're enemies.	Somos inimigos.
Good afternoon.	Boas tardes.
It is Saturday.	É sábado.
It's very cold.	Fai moito frío.
Open your eyes.	Abre os ollos.
Open your eyes.	Abride os ollos.
The tea is hot.	O té está quente.
Drive carefully.	Conduce con xeito.
How old are you?	Cantos anos tes?
I can't hear it.	Non podo o ouvir.
I have brothers.	Teño irmáns.
I'll buy a Ford.	Hei mercar un Ford.
I agree with you.	Estou de acordo contigo.
It's really cold.	Fai moito frío.
No one likes war.	A ninguén lle gusta a guerra.
She worships him.	Ela adórao.
What's your name?	Como te chamas?
Keep away from me.	Arrédate de min.
Tom is a good boy.	Tom éche un bo rapaz.
What is your name?	Como te chamas?
Where do you live?	Onde vives?
He wants a new car.	El quere un coche novo.
I sleep in my room.	Eu durmo na miña habitación.
I watch television.	Vexo a televisión.
It wasn't my fault.	Non foi miña culpa.
Just water, please.	Só auga, por favor.
She speaks Russian.	Ela fala ruso.
That house is mine.	Aquela casa é miña.
The signal was red.	O semáforo estaba en vermello.
What are you doing?	Que fas?
Why are you crying?	Por que estás a chorar?
Have a nice weekend.	Ten unha boa fin de semana.
I can't find my key.	Non dou topado a miña chave.
I'll make you happy.	Fareite feliz.
May I ask your name?	Podo preguntarlle o seu nome?
More coffee, please.	Máis café, por favor.
She is on death row.	Ela está no corredor da morte.
Take it or leave it.	Colles ou largas.
Those are our books.	Aqueles son os nosos libros.
Tom put on his robe.	Tom puxo a súa sotana.
Tom was very scared.	Tom estaba moi asustado.
We had an oral exam.	Tivemos un exame oral.
Welcome to our home.	Benvido ao noso lar.
Welcome to our home.	Benvido ao noso fogar.
He has two daughters.	El ten dúas fillas.
How many do you need?	Cantos precisas?
How much is this tie?	Canto custa esta gravata?
I've got a good idea.	Teño unha boa idea.
They're already here.	Eles xa están aquí.
Turtles are reptiles.	As tartarugas son réptiles.
A week has seven days.	Unha semana ten sete días.
