Who?	Tko?
Hello!	Halo.
I try.	Trudim se.
I try.	Pokušavam.
Oh no!	Oh, ne!
Smile.	Smješak.
Attack!	U napad!
He ran.	Pobjegao je.
Listen.	Slušaj.
We try.	Pokušavamo.
Ask Tom.	Pitaj Toma.
Awesome!	Fenomenalno!
Be calm.	Budi smiren.
Be fair.	Budi pošten.
Be kind.	Budi ljubazan.
Be nice.	Budi fin.
Call me.	Nazovi me.
Call us.	Nazovi nas.
Get out!	Izlazi van!
Go away!	Odlazi!
Go away.	Odlazi.
He runs.	On bježi.
Help me!	Pomozi mi!
Perfect!	Savršeno!
Wash up.	Operi se.
Welcome.	Dobro došli.
Welcome.	Dobro došao.
Welcome.	Dobro došla.
Welcome.	Dobro došle.
You run.	Ti bježiš.
Ask them.	Pitaj ih.
Back off.	Odstupi.
Get lost.	Izgubi se.
Have fun.	Zabavi se.
Have fun.	Zabavite se.
How nice!	Kako lijepo!
Hurry up.	Požuri.
Look out!	Pazi!
Sit down.	Sjedni.
Speak up!	Govori glasnije!
Try some.	Probaj malo.
Try this.	Probaj ovo.
We agree.	Slažemo se.
Calm down.	Smiri se.
Catch him.	Uhvati ga.
Excuse me.	Ispričavam se.
Fantastic!	Fantastično!
Follow me.	Slijedi me.
Forget it!	Zaboravi!
I fainted.	Onesvijestio sam se.
I laughed.	Smijao sam se.
I laughed.	Smijala sam se.
I'm going.	Idem.
I'm ready.	Spreman sam.
I'm ready.	Spremna sam.
I'm ready.	Ja sam spreman
I'm ready.	Ja sam spremna.
I'm tired.	Umoran sam.
Look back!	Osvrni se!
Of course!	Naravno!
Of course.	Naravno.
Sit still.	Sjedi mirno.
Step back.	Ustukni.
Try again.	Pokušaj opet.
Try again.	Pokušaj ponovo.
Who cares?	Koga briga?
Who's she?	Tko je ona?
Wonderful!	Predivno!
You tried.	Pokušao si.
Bottoms up!	Živjeli!
Bottoms up!	Nazdravlje!
Check that.	Provjeri to.
Definitely!	Definitivno!
Eat slowly.	Jedi polako.
Follow him.	Slijedi ga.
I'm a hero.	Ja sam heroj.
Just relax.	Samo se opusti.
Keep quiet!	Stišaj se!
Keep quiet.	Budi tih.
Mama cried.	Mama je plakala.
Once again.	Još jednom.
Step aside.	Skloni se u stranu.
Time flies.	Vrijeme leti.
Who is she?	Tko je ona?
Who's that?	Tko je to?
You called?	Zvao si?
You called?	Zvala si?
Be prepared.	Budi spreman.
Be prepared.	Budi spremna.
Get serious.	Uozbilji se.
How are you?	Kako si?
