I try.	Padasek.
I know.	Ammok.
Listen.	Agdenggeg.
Really?	Agpayso?
Thanks.	Agyamanak.
Why me?	Apay nga siak?
Come in.	Sumrekka.
Come on!	Umaykan.
Get out.	Rummuarka.
Go away.	Pumanawka.
Goodbye!	Kastan!
Help me.	Tulungannak.
Hit Tom.	Tiruem ni Tom.
Hug Tom.	Arakupem ni Tom.
I'm Tom.	Siak ni Tom.
Call Tom.	Awagam ni Tom.
Call Tom.	Ayabam ni Tom.
Go ahead.	Mapankan.
Help Tom.	Tulonganyo ni Tom.
Help Tom.	Badanganyo ni Tom.
Help Tom.	Saranayenyo ni Tom.
How deep?	Kasano kauneg?
How deep?	Kasano kaadalem?
Hurry up.	Kartingam.
I'll pay.	Agbayadak.
Kiss Tom.	Agkam ni Tom.
Let's go!	Intayon!
Save Tom.	Isalakanmo ni Tom.
Save Tom.	Ispalem ni Tom.
Stop Tom.	Lapdam ni Tom.
Stop Tom.	Pasardengem ni Tom.
Tom lost.	Nayaw-awan ni Tom.
Tom swam.	Naglangoy ni Tom.
Too late.	Naladawen.
Use this.	Aramatem daytoy.
What for?	Para ania?
Who swam?	Asino ti naglangoy?
Answer me.	Sungbatannak.
Birds fly.	Agtaytayab dagiti billit.
Catch Tom.	Tiliwem ni Tom.
Come here.	Umayka ditoy.
Dogs bark.	Agtataul dagiti aso.
Don't cry.	Diak agsangit.
Follow me.	Surutennak.
Forget it.	Lipatemon.
Humor Tom.	Rabakem ni Tom.
I'm bored.	Masikoranak.
I'm happy.	Naragsakak.
I'm happy.	Maragsakanak.
I'm sorry.	Dispensarennak.
It's cold.	Nalam-ek.
Let's try!	Padasentayo!
Look back!	Tumalliaw!
Take care.	Agannad.
Tom tried.	Pinadas ni Tom.
Tom tries.	Padpadasen ni Tom.
Tom voted.	Nagbotos ni Tom.
Tom walks.	Magmagna ni Tom.
Tom works.	Agob-obra ni Tom.
Trust Tom.	Talkem ni Tom.
Watch Tom.	Paliiwem ni Tom.
Who knows?	Sino ti makaammo?
Write Tom.	Suratam ni Tom.
Answer Tom.	Sungbatam ni Tom.
Be careful.	Agan-annadka.
Birds sing.	Agkankanta dagiti billit.
Come along.	Kumuyog.
I envy you.	Apalanka.
I feel bad.	Madi ti riknak.
I love you.	Ay-ayatenka.
I miss you.	Mailiwak kenka.
I need you.	Kasapulanka.
I'm so fat.	Nakaluklukmegak unay.
I'm so fat.	Nalukmegak unay.
Let me pay.	Bay-am nga agbayadak.
No kidding?	Dika agang-angaw?
Step aside.	Agpaigid.
Study hard.	Agadal a naimbag.
Tom did it.	Ni Tom ti akingapuanan.
Tom did it.	Ni Tom ti nangaramid.
Tom did it.	Ni Tom ti akin-aramid.
Tom is shy.	Managbabain ni Tom.
Tom talked.	Nagsao ni Tom.
Tom walked.	Nagnagna ni Tom.
Tom worked.	Nagtrabaho ni Tom.
Tom yelled.	Naglaaw ni Tom.
We'll walk.	Magmagnata.
We'll walk.	Magmagnatayo.
We'll work.	Agtrabahotayo.
We'll work.	Trabahuentayo.
Who are we?	Asinotayo?
Who talked?	Asino ti nagsao?
Who yelled?	Asino ti naglaaw?
You may go.	Mabalinmon ti mapan.
You're big.	Dakkelka.
Are you sad?	Nalidayka kadi?
Are you sad?	Malmaldayka?
Do it again!	Aramidem manen!
Don't worry.	Saanka a madanagan.
Forgive Tom.	Pakawanenyo ni Tom.
How are you?	Komustaka?
How strange!	Nakakaskasdaaw!
I don't lie.	Saanak nga agul-ulbod.
I don't lie.	Saanak nga agliblibak.
I eat alone.	Maymaysak a mangan.
I feel blue.	Malidayanak.
I feel blue.	Maldaanganak.
I like cats.	Kayatko ti pusa.
