Come in.	მობრძანდით
See you.	ნახვამდის.
Welcome.	კეთილი იყოს თქვენი მობრძანება!
After you.	თქვენ შემდეგ.
I'm happy.	ბედნიერი ვარ.
You idiot!	იდიოტო!
You tried.	შენ ეცადე.
Definitely!	უეჭველად!
I need you.	მჭირდები.
I want you.	მინდიხარ.
You called?	შენ დარეკე?
You decide.	შენ გადაწყვიტე.
Are you mad?	გაგიჟდი?
Are you mad?	გიჟი ხარ?
He loves me.	მას მე უყვარვარ.
How are you?	როგორ ბრძანდებით?
I'm not old.	მე არ ვარ ხნიერი.
The TV's on.	ტელევიზორი ჩართულია.
You said it!	ეს შენ თქვი!
You're sick!	ავად ხარ!
Can you come?	შეგიძლია მოხვიდე?
I have to go.	მე უნდა წავიდე.
I'm very shy.	მე ძალიან მორცხვი ვარ.
Welcome home.	კეთილი იყოს შენი შინ დაბრუნება.
Are you crazy?	გაგიჟდი?
Are you there?	აქ ხარ?
How about you?	და შენ?
No, thank you.	არა, მადლობა.
See you again.	კიდევ გნახავთ.
You all right?	კარგად ხარ?
You are lying.	იტყუები.
You are lying.	იტყუებით.
Do you love me?	შენ მე გიყვარვარ?
I've done this.	მე ეს გავაკეთე.
This is my dog.	ეს ჩემი ძაღლია.
You're welcome.	არაფრის.
Do you remember?	გახსოვს?
Do you remember?	გახსოვთ?
Green suits you.	მწვანე გიხდება.
This is suicide!	ეს თვითმკვლელობაა.
I like doughnuts.	მე მიყვარს დონატები
I will shoot him.	ვესვრი!
I'm on your side.	მე შენს მხარეს ვარ.
My stomach hurts.	მტკივა კუჭი.
Nice to meet you.	სასიამოვნოა თქვენი გაცნობა.
Tom is here, too.	ტომიც აქაა.
What's your name?	რა გქვია?
He is still young.	ის ჯერ კიდევ ახალგაზრდაა.
I like simplicity.	მომწონს სიმარტივე
I like simplicity.	მე მომწონს სიმარტივე
I like simplicity.	სიმარტივე მომწონს
The house is warm.	სახლი თბილია.
You're disgusting!	ამაზრზენი ხარ!
I'll read the book.	წიგნს წავიკითხავ.
I'm writing a book.	მე წიგნს ვწერ.
You like elephants.	შენ სპილოები მოგწონს.
I'll give you money.	მე მოგცემ ფულს.
You'd better not go.	უკეთესი იქნებოდა, რომ არ წასულიყავი.
He committed suicide.	მან თავი მოიკლა.
I have two daughters.	ორი ქალიშვილი მყავს.
Why are you sleeping?	რატომ გძინავს?
Why are you sleeping?	რატომ გძინავთ?
You're not listening.	არ უსმენ.
He is lost in thought.	ფიქრებში დაიკარგა.
I want to talk to her.	მინდა მასთან ლაპარაკი.
I want to talk to you.	მინდა შენთან ლაპარაკი.
I'm at the restaurant.	რესტორანში ვარ.
Nobody understands me.	არავის არ ესმის ჩემი.
She attempted suicide.	მან თავის მოკვლა სცადა.
That man is a soldier.	ეგ კაცი ჯარისკაცია.
We have a reservation.	გვაქვს დაჯავშნა.
All people breathe air.	ყველა ადამიანი ჰაერს სუნთქავს.
Can you get permission?	შეგიძლია პირობა მომცე?
I don't speak Japanese.	მე არ ვიცი იაპონურად ლაპარაკი.
I'll give you an apple.	მე მოგცემ ვაშლს.
The train came on time.	მატარებელი დროზე მოვიდა.
They are very cheerful.	ძალიან მხიარული არიან.
Today is a working day.	დღეს სამუშაო დღეა.
You have my permission.	შენ გაქვს ჩემი ნებართვა.
You need my permission.	შენ გჭირდება ჩემი ნებართვა
A bear can climb a tree.	დათვს შეუძლია ხეზე ცოცვა.
I like studying history.	მე მიყვარს ისტორიის სწავლა.
I'd like three of these.	სამი ცალი მომეცით გეთაყვა.
I'll give you a present.	მე მოგცემ საჩუქარს.
Please extend this visa.	გთხოვთ გააგრძელოთ ეს ვიზა.
Who gave you permission?	ვინ მოგცა ნებართვა?
I want a good dictionary.	კარგი ლექსიკონი მინდა.
I'm the man of the house.	მე სახლის კაცი ვარ.
He's the man of the house.	ის სახლის კაცია.
You can go if you want to.	შეგიძლია წახვიდე თუ გინდა.
I want to talk to you, Tom.	მინდა შენთან ლაპარაკი, ტომო.
We've resolved the problem.	ჩვენ მოვაგვარეთ პრობლემა.
I think Tom lives in Boston.	მე მგონი ტომი ბოსტონში ცხოვრობს.
No more than 50 people came.	50 კაცამდე მოვიდა.
She is dressed like a bride.	პატარძალივით აცვია.
I've attempted suicide twice.	თავის მოკვლა ორჯერ ვცადე.
I learned to live without her.	მის გარეშე ცხოვრებას შევეჩვიე.
The train arrived on schedule.	მატარებელი დროზე მოვიდა.
Why do you need my permission?	რატომ გჭირდება ჩემი ნებართვა?
I'm not asking your permission.	მე არ გთხოვთ თქვენ ნებართვას.
I've seen you somewhere before.	სადღაც მინახავხარ.
Please wait for thirty minutes.	ნახევარი საათი მოიცადე.
What did you say your name was?	რა თქვი რა გქვია?
I left my umbrella on the train.	ქოლგა მატარებელში დავტოვე.
