Who?	Sapa?
I know.	Kita tau.
Listen.	Dengar!
Why me?	Bikiapa kong kita?
Go away.	Bajao!
Me, too.	Kita lagi.
Birds fly.	Burung tarbang.
Follow me.	Iko kita.
I fainted.	Kita semaput.
I laughed.	Kita tatawa.
It's 8:30.	Ini su stenga sambilan.
Look back!	Lia kabalakang!
She cried.	Dia manangis.
She walks.	Dia tatawa.
Birds sing.	Burung manyanyi.
She smiled.	Dia senyum.
Tom is ugly.	Tom tu tara bae.
Walk slowly.	Bajalang palang-palang.
Are you lost?	Ngana ilang ka?
Drive slowly.	Bawa kendaraan palang-palang.
I don't know.	Kita tara tau.
I understand.	Kita mangarti.
I'm not here.	Kita tara di sini.
Ladies first.	Parampuang kamuka.
Let's go eat.	Tong makang mari!
Let's go eat.	Makang mari!
Let's go eat.	Mari torang makang.
Let's go eat.	Mari la torang makang.
Let's go eat.	Mari la torang pigi makang.
Let's go eat.	Tong pi makang mari!
Stop smoking.	Barenti baisap!
Stop talking.	Barenti bacarita.
I hate French.	Kita binci bahasa Prancis.
I like French.	Kita suka bahasa Prancis.
I love French.	Kita suka skali bahasa Prancis.
It's 2:00 p.m.	Ini su siang jam dua.
Who called me?	Sapa pangge kita tu?
I speak French.	Kita bicara deng bahasa Prancis.
I study French.	Kita balajar bahasa Prancis.
I teach French.	Kita mangajar bahasa Prancis.
Is that French?	Itu bahasa Prancis?
Louder, please.	Tolong kase basar suara sadiki.
They're joking.	Dorang basedu saja.
I was too small.	Kita talalu kacil.
I'm going to go.	Kita mu pigi.
Let's fly kites.	Mari torang kase tarbang falinggir.
Tom was running.	Tom ada lari.
We study French.	Torang balajar bahasa Prancis.
He speaks French.	Dia bicara deng bahasa Prancis.
I eat everything.	Samua-samua kita makang.
I sell umbrellas.	Kita bajual payung-payung.
Listen carefully.	Dengar bae-bae.
Nothing happened.	Tara bikiapa-bikiapa.
She may be French.	Mangkali dia orang Prancis.
She may be French.	Dia ini mangkali orang Prancis.
They spoke French.	Dorang bicara deng bahasa Prancis.
Tom speaks French.	Tom bicara deng bahasa Prancis.
What is your name?	Ngana pe nama sapa?
