Run!	Loop!
Hello!	Moin.
Cheers!	Proost!
I know.	Ik weet.
Thanks.	Bedankt!
Go away.	Gah weg.
I'm fat.	Ik bün fett.
Shut up!	Holl dat Muul!
Shut up!	Holl den Sabbel!
Shut up!	Holl de Snuut!
Welcome.	Willkamen!
Have fun.	Veel Spaaß!
I forgot.	Dat heff ik vergeten.
I'm back.	Ik bün dor wedder.
I'm busy.	Ik heff to doon.
I'm cold.	Mi is koold.
I'm game.	Ik maak mit.
Trust me.	Vertro mi.
Come here.	Kaam her.
He's fast.	He is gau.
I am cold.	Mi is koold.
I mean it.	Ik meen dat ook so.
I'm a man.	Ik bün en Mann.
I'm drunk.	Ik bün duun.
I'm tired.	Ik bün mööd.
It's cold.	Dat is koold.
It's late.	Dat is laat.
Let me go!	Laat mi gahn!
Let me in.	Laat mi rin.
Look back.	Kiek achter di!
Sign here.	Ünnerschriev hier.
Thank you.	Bedankt!
Who is he?	’Keen is he?
Am I wrong?	Heff ik nich recht?
Can I help?	Kann ik helpen?
Choose one.	Söök een ut.
He laughed.	He lach.
Hello, Tom.	Hallo Tom.
I am a boy.	Ik bün en Jung.
I am a man.	Ik bün en Mann.
I felt bad.	Ik heff mi slecht föhlt.
I felt ill.	Ik heff mi krank föhlt.
I know him.	Ik kenn em.
I like tea.	Ik mag Tee.
I need you.	Ik bruuk di.
I think so.	Dat dücht mi so.
I want you.	Ik will di.
I'm hungry!	Ik bün hungerig.
Ignore him.	Acht nich op em.
Is this it?	Dit hier?
Is this it?	Disse hier?
Just do it.	Do dat doch.
Let me die.	Laat mi starven.
No comment.	Dor segg ik nix to.
Time flies.	De Tied flüggt.
Where am I?	Woneem bün ik?
Wood burns.	Holt brennt.
Can we talk?	Köönt wi snacken?
Can we talk?	Köönt wi küern?
Can we talk?	Köönt wi praten?
Cook for me.	Kaak för mi.
Don't leave!	Gah nich weg!
He can swim.	He kann swemmen.
I am taller.	Ik bün grötter.
I can't fly.	Ik kann nich flegen.
I feel cold.	Mi is koold.
I heard you.	Ik heff di höört.
I know that.	Ik weet dat.
I like cats.	Ik mag Katten.
I like fish.	Ik mag geern Fisch.
I live here.	Ik leev hier.
I need help.	Ik bruuk Hülp.
I thank you.	Ik dank di.
I trust you.	Ik vertroo di.
I was tired.	Ik weer mööd.
I'm a baker.	Ik bün Bäcker.
I'm at home.	Ik bün tohuus.
Is he right?	Hett he recht?
Is it white?	Is dat witt?
Is it yours?	Is dat dien?
Is she gone?	Is se weg?
It may rain.	Villicht regent dat.
It may snow.	Villicht sneet dat.
Many thanks.	Velen Dank!
She bit him.	Se hett em beten.
Where is he?	Woneem is he?
Whose is it?	’Keen sien is dat?
You are mad.	Du büst mallerig.
Are you dead?	Büst du dood?
Bring him in.	Bring em rin.
Do you smoke?	Smöökst du?
Do you smoke?	Smöökt ji?
Does it work?	Klappt dat?
Good morning.	Goden Morgen.
Happy Easter!	Frohe Oostern!
He is a poet.	He is en Dichter.
He is chubby.	He is wat pummelig.
I am a woman.	Ik bün en Froo.
I don't know.	Weet ik nich.
I drank milk.	Ik drünk Melk.
I go to work.	Ik gah na Arbeid.
I have a dog.	Ik heff en Hund.
I see a lion.	Ik seh en Lööw.
I'm a coward.	Ik bün en Bangbüx.
I'm a doctor.	Ik bün Dokter.
I'm new here.	Ik bün nee hier.
I'm not well.	Mi geiht dat slecht.
I'm so tired!	Ik bün so mööd!
It's raining.	Dat regent.
It's snowing.	Dat sneet.
Life is hard.	Dat Leven is hart.
Life's short.	Dat Leven is kort.
Move quietly.	Beweeg di sachten.
My feet hurt.	Mien Fööt doot weh.
See you soon!	Seh to!
Shame on you!	Du schusst di wat schamen!
She is a fox.	Se is en Voss.
She stood up.	Se stünn op.
She sued him.	Se hett em verklaagt.
We are Arabs.	Wi sünd Arabers.
What is love?	Wat is Leevd?
What is that?	Wat is dat?
Where are we?	Woneem sünd wi?
Who are they?	Wat sünd dat för welk?
Who is there?	’Keen is dor?
