Who?	Hvem?
Wow!	Oi!
Fire!	Brann!
Fire!	Skyt!
Help!	Hjelp!
Stop!	Slutt!
Stop!	Stopp!
Shoot!	Skyt!
Attack!	Angrip!
Got it!	Jeg skjønner!
I know.	Jeg vet.
Really?	Virkelig?
Thanks.	Takk skal du ha.
Come on!	Kom igjen!
Get out.	Forsvinn.
Get out.	Kom deg ut.
Go away!	Gå vekk!
Goodbye!	Ha det!
Help me!	Hjelp meg!
Help me.	Hjelp meg.
I agree.	Jeg er enig.
Kiss me.	Kyss meg.
See you!	Vi sees!
Show me.	Vis meg.
Shut up!	Hold kjeft!
Wake up!	Våkn opp!
Welcome.	Velkommen.
Good job!	Bra jobbet!
Good job!	Godt gjort!
Hurry up.	Skynd deg!
I'm bald.	Jeg er skallet.
I'm bald.	Jeg er skalla.
I'm deaf.	Jeg er døv.
I'm fine.	Det går bra med meg.
I'm home.	Jeg er hjemme.
Stand up!	Reis dere!
Tom knew.	Tom visste.
We agree.	Vi er enige.
Who came?	Hvem kom?
Who's he?	Hvem er han?
Come back.	Kom tilbake!
Come soon.	Kom snart.
Follow us.	Følg oss!
Forget it!	Glem det!
Get a job.	Finn deg en jobb!
Goodnight.	God natt.
Hands off.	Ikke rør.
Hold this.	Hold dette!
I'd agree.	Jeg er enig.
I'm a vet.	Jeg er veteran.
I'm naked.	Jeg er naken.
I'm tired.	Jeg er trøtt.
It's mine.	Den er min.
It's mine.	Det er mitt.
It's true.	Det er sant.
It's warm.	Det er varmt.
Open fire!	Skyt!
Pardon me?	Unnskyld meg?
Seriously?	Seriøst?
She cried.	Hun gråt.
She walks.	Hun går.
Thank you.	Takk skal du ha.
They swam.	De har svømt.
Tom stood.	Tom stod.
Try again.	Prøv på nytt.
Try again.	Prøv igjen.
What's up?	Hva skjer?
Who is he?	Hvem er han?
Who knows?	Hvem vet?
Are you in?	Er du med?
Good night.	God natt.
He is kind.	Han er snill.
How clever!	Så lurt!
I am happy.	Jeg er lykkelig.
I just ate.	Jeg spiste nettopp.
I love you.	Jeg elsker deg.
I miss you.	Jeg savner deg.
I was home.	Jeg var hjemme.
I'll do it.	Jeg skal gjøre det.
I'm a hero.	Jeg er en helt.
I'm chubby.	Jeg er lubben.
I'm coming.	Jeg kommer.
I'm so fat.	Jeg er så tykk.
I'm so fat.	Jeg er så tjukk.
I'm so fat.	Jeg er så feit.
Is he tall?	Er han høy?
Is it blue?	Er det blått?
It happens.	Sånt skjer.
It is warm.	Det er varmt.
Tom called.	Tom ringte.
You may go.	Du kan gå.
Are you sad?	Du er vel ikke trist?
Don't panic!	Ikke få panikk!
Don't shoot!	Ikke skyt!
Don't shoot.	Ikke skyt!
How are you?	Hvordan går det?
I eat bread.	Jeg spiser brød.
I hate dogs.	Jeg hater hunder.
I hate math.	Jeg hater matematikk.
I want mine.	Jeg vil ha min.
I was lucky.	Jeg hadde flaks.
I was sorry.	Jeg var lei meg.
I'm thirsty.	Jeg er tørst.
Is it there?	Er den der?
Is it there?	Er det der?
It can't be!	Det er ikke mulig!
It can't be!	Det kan ikke stemme!
It happened.	Det skjedde.
That's mine.	Det er mitt.
They smiled.	De smilte.
Tom is poor.	Thomas er fattig.
We think so.	Vi tror det.
Who's tired?	Hvem er sliten?
Are you lost?	Har du gått deg vill?
Are you nuts?	Er du gal?
Are you sure?	Er du sikker?
Beef, please.	Biff, takk.
Do you smoke?	Røyker du?
Do your best.	Gjør ditt beste.
Go away, Tom.	Gå vekk, Tom.
Good evening.	God kveld.
Good morning.	God morgen.
Here you are.	Værsågod.
How was that?	Hvordan var det?
I am curious.	Jeg er nysgjerrig.
I don't know.	Jeg vet ikke.
I don't sing.	Jeg synger ikke.
I hear music.	Jeg hører musikk.
I must study.	Jeg er nødt til å studere.
I need money.	Jeg trenger penger.
I see a lion.	Jeg ser en løve.
I was framed.	Jeg gikk rett i fella.
I'm a doctor.	Jeg er lege.
I'm not bald.	Jeg er ikke skallet.
I'm not bald.	Jeg er ikke skalla.
I'm out here.	Jeg er her ute.
Is he asleep?	Sover han?
Is that a no?	Er det et nei?
Is that fair?	Er det rettferdig?
Is that fair?	Er det rimelig?
It is my cat.	Det er katten min.
It scared me.	Det skremte meg.
It took time.	Det tok tid.
It'll happen.	Det kommer til å skje.
It's bedtime.	Det er leggetid.
