Hello!	Äshazhoix!
Smile.	Naiyumz naiyix räläq.
Cheers!	Azhex!
I know.	Ngiz räq äsäp ha.
No way!	Naq! Maix mäk!
Go away.	Äluz nä kiz haw läq.
Go away.	Naq paqlaq.
Goodbye!	Kiqkap!
Goodbye!	Kiqkap yawx!
Goodbye!	Kiqkap liiz!
Shut up!	Naq bawm!
Tell me.	Ngiz mäx cyawng läq.
Welcome.	Täox täkängx.
Welcome.	Täox täkaix.
Hurry up.	Kawztsi.
I smiled.	Ngiz naiyumz naiyix räkängx.
Let's go!	Kiz rawngx phä!
Let's go!	Vaz rawngx phä!
Stand up!	Cyap läq!
Calm down.	Dzänz täsäng läq.
Come here.	Änä kiz räx.
Come here.	Änä vaz räx.
Excuse me.	Oix, hiazshiz.
Excuse me.	Inä, yaqlawsez.
I'm sorry.	Awx, äbix naq lap kiq yawx.
I'm tired.	Ngiz niix hiax nawx.
It's cold.	Äkaiq viq.
Let's ask.	Vai rawngx phä.
Let's ask.	Vai rawngx i.
Let's eat.	Siq rawngx phä.
Let's eat.	Siq rawngx i.
Let's eat.	Phaq rawngx phä.
Let's eat.	Phaq rawngx i.
Look here.	Änä liix läq!
Thank you.	Tesawra.
Thank you.	Kecyu äyawng.
I like tea.	Ngiz phiqyaq rawx täkängx.
I love you.	Ngiz räq ümznäq mäx lungvii täkängx.
I love you.	Ngiz räq ümznäq mäx rawx täkängx.
I miss you.	Ngiz ümznäq mäx tsängxmiix täkängx.
I need you.	Ümznäq kä ngiz mäx ra tälawx.
I'm hungry!	Ngiz ramxdzi tälawx!
I'm so fat.	Ngiz läx vüz hiax vüz vanx kängx.
Let's play.	Tädza rawngx phä.
Let's play.	Tädza rawngx i.
Let's walk.	Khum rawngx phä.
Let's walk.	Khum rawngx i.
Let's work.	Shäm rawngx phä.
Let's work.	Shäm rawngx i.
Lift it up.	Kärä daw läq.
She smiled.	Äpaiq naiyumz naiyix rätawx.
Tom danced.	Thawmz vänumz tawx.
Don't worry.	Naq tämaz kiq.
Don't worry.	Naq cyaxpax kiq.
How are you?	Ähia shäx?
How are you?	Hanzsängx shäx?
I have food.	Iz-yaq nä phaqsia cyängz äsi.
I like dogs.	Ngiz kuxkux rawx täkängx.
I like fish.	Ngiz ngiq rawx täkängx.
I'm thirsty.	Ngiz kham nyängx dzi tälawx.
Is it yours?	Kärä kä ümznäq riix shäx?
It may rain.	Ra mi yun.
Let's dance.	Vänumz rawngx phä.
Let's dance.	Vänumz rawngx i.
Show me how.	Yamkhäx väx ngiz mäx tächix kuq läq.
They smiled.	Tsängxshiq naiyumz naiyix rätawx.
What's this?	Ärä kä yamlai väx täz?
Who are you?	Ümznäq kä yu väx?
Are you sure?	Ngawxhiax shäx?
Are you sure?	Äsängz diax shäx?
Come with me.	Ngiz raix vaz i.
Come with me.	Ngiz raix kiz i.
Come with me.	Ngiz raix vaz räx.
Come with me.	Ngiz raix kiz räx.
Come with me.	Ngiz raix kiz läq.
Come with me.	Ngiz raix vaz läq.
Good evening.	Rämri rayix.
I am at home.	Ngiz kä yäm nä liiz.
I don't know.	Ngiz räq säp mängx.
I have a car.	Iz-yaq nä noztoz äsi.
I have a cat.	Iz-yaq nä mixmix äsi.
I have a pen.	Iz-yaq nä läkkiiz äsi.
I have money.	Iz-yaq nä kämphaw äsi.
I understand.	Ngiz räq khawn täkängx.
I want to go.	Ngiz äkai rawx.
I want to go.	Ngiz ävax rawx.
Say it again.	Kärä hali cyawng nawngz läq.
Where is Tom?	Thawmz kä ümbaz nä väx?
Are you happy?	Ümznäq äpyawx shäx?
Are you ready?	Khexkhamz nawx shäx?
Are you tired?	Ümznäq äniix nawx shäx?
God bless you!	Dzäkdzi rämri!
I believe you.	Ngiz ümznäq mäx kam täkängx.
I like to run.	Ngiz kä äyuz rawx täkängx.
I want to cry.	Ngiz läx hawsix tälawx.
I want to eat.	Ngiz phaqsia rawx.
I want to run.	Ngiz äyuz rawx.
I'm a student.	Ngiz kä cyawngmang.
It is raining.	Rayun tälawx.
Show it to me.	Ngiz mäx tächix kuq läq.
Show me again.	Ngiz mäx hali tächix kuq nawngz läq.
Tell me again.	Ngiz mäx hali cyawng kuq nawngz läq.
What happened?	Yam väx ra täq?
What happened?	Yam väx pin täq?
Where are you?	Ümznäq ümbaz nä väx?
You can do it.	Ümznäq räq mi kälawz tang haü.
Are you hungry?	Ramxdzi nawx shäx?
Can I help you?	Ngiz ümznäq mäx khärumx ke ämaix shäx?
Do you love me?	Ngiz mäx lungvii tälaüx shäx?
Don't feel bad.	Awx, äbix naq lap kiq yawx.
Happy New Year!	Rämri Viixnye!
Happy New Year!	Azhex Azhex Azhex!
Happy birthday!	Khawqriiq shishiiq ravüxchix ranaiq!
I am in London.	Ngiz kä London cyezla nä.
I like running.	Ngiz kä äyuz rawx täkängx.
I want to know.	Ngiz äsäp rawx.
I've been busy.	Ngiz kä mintsax vax li.
It was raining.	Rayun siq tawx.
Open your eyes.	Ümz-mäk täpiiq läq.
This is a book.	Ärä kä laizdap.
You're welcome.	Täox täkängx.
Are you at home?	Ümznäq yäm nä shäx?
Are you married?	Ümznäq kä tingzkhu maiq shäx?
Are you married?	Ümznäq kä tingzkhu tex ye nawx shäx?
Are you married?	Ümznäq kä ümz-yämti vez äsi nawx shäx?
