Help!	Sakóru!
Really?	Tutô?
Ask him.	Kutáng mu kayá.
Go away.	Makó ka ken.
Me, too.	Yákū man.
Shut up!	Patúgut ka!
Get lost!	Mabáting ka!
Hurry up.	Lagwá mu.
I'm sick.	Másakít ku.
Let's go!	Makó tána!
Let's go!	Tará na!
Stand up!	Tálakád ka!
Stand up!	Tikdó ka!
Tom wept.	Kínyak ya i Tom.
Use this.	Gamítan me iní.
Don't ask.	Ému kukutáng.
Excuse me.	Makílábas ku.
Excuse me.	Panúpáya yukú.
Of course!	Siémpre!
Thank you.	Salámat.
I am happy.	Masayá ku.
I love you.	Kalugurán daká.
I need you.	Kaylángan daká.
She's mine.	Káku ya.
Take a bus.	Mag-bus ka.
We lost it.	Ábáting miyá.
What is it?	Nánu ya?
Who's free?	Nínung librí?
Who's free?	Nínung timáwa?
Are you mad?	Mamuláng ka?
Don't worry.	Éka migáganakâ.
How are you?	Kómustá ka?
How are you?	Nínu íka?
I live here.	Kéni ku makátuknáng.
I'm at home.	Atyú ku king balé.
I'm at home.	Atyú ku king kékamí.
I'm at home.	Atyú ku king balé mi.
I'm falling.	Mananábu ku.
I'm thirsty.	Máwa kung danúm.
Is it yours?	Kéka ya?
Let's do it!	Gáwan táya!
Let's do it.	Gáwan táya.
Shall we go?	Makó tána?
Tom is busy.	Okupádu ya i Tom.
Tom is busy.	Abalá ya i Tom.
Tom is down.	Atyú king lálam i Tom.
What's this?	Nánu ya iní?
Are you sure?	Sigúrádu ka?
Can you come?	Miratáng ka?
Do you drink?	Míminúm kang álak?
Good evening.	Máyap a béngi.
I don't know.	Éku bálû.
I don't know.	Tabálû.
I don't know.	Tabálu tâ .
I like candy.	Burí ku ing kéndi.
I read a lot.	Mapamásá ku.
I want to go.	Bísa kung muntá.
It was a lie.	Kaláramán itá.
It's raining.	Múmurán.
Let's not go.	E támu púpuntá.
They all sat.	Línuklúk la ngan.
They came in.	Línub la.
They gave up.	Sínúku la.
You go first.	Múna ka.
Are you ready?	Makasadyá na ka?
Are you tired?	Mapagál ka?
I believe you.	Pániwalán daká.
I believe you.	Pániwalán dakayú.
I put it back.	Siblí ke.
It was a gift.	Regálu ya.
Just get back.	Bastá mibálik ka.
Let's open it.	Busní táya.
Listen to Tom.	Pakirámdamán me i Tom.
Now you do it.	Gáwan mu na.
That's enough.	Ustú na.
That's my dog.	Yan ing ásu ku.
They all died.	Méte la ngan.
They all knew.	Bálu ra ngan.
They all know.	Bálu ra ngan.
They all left.	Méko la ngan.
They all rose.	Tínikdo la ngan.
They can help.	Makásáup la.
They can wait.	Makápanayá la.
They fixed it.	Linárin de.
They found us.	Ikít dakamí.
They found us.	Ápayntún dakamí.
Tom is voting.	Mágbótu ya i Tom.
We have plans.	Atín kamíng plánu.
We have plans.	Atín támung plánu.
Where are you?	Núkarín ka?
You can do it.	Agyú mu.
You're paying.	Íka ing mamáyad.
Are you hungry?	Danúpan ka?
Are you hungry?	Maránup ka?
Can I help you?	Malyári dakáng sópan?
Can we stop it?	Agyú táyang sabatán?
Do we know you?	Kilála raká?
Do you love me?	Kalugurán mukó?
Don't get lost.	Éka mabábáting.
Happy New Year!	Masáplálang Báyung Banwá!
Hide that book.	Isalikút me ing librúng yan.
I ate too much.	Míparakál ku péngan.
I have no time.	Alá kung panaún.
I need to work.	Kaylángan kung magóbra.
I study Korean.	Mánigáral kung Koreanu.
Is it safe now?	Ligtás na ngéne?
Is that edible?	Malyári yang kanán yan?
Isn't it scary?	E mákatákot?
It's too large.	Masyádu yang maragúl.
Leave me alone!	Lakwán mukú!
Let me explain.	Burén mukúng mag-ispliká.
Let me explain.	Burén yukúng mag-ispliká.
Open your eyes.	Imulágat mo reng matá mu.
They all drank.	Mínum la ngan.
They all stood.	Tínikdo la ngan.
They both died.	Paréu lang méte.
They both work.	Paréu lang mágóbra.
They bother me.	Pángabalánan dáku.
They bought it.	Séli de.
They buried it.	Kitkút de.
They called me.	Ináus dáku.
They came back.	Míbálik la.
They caught me.	Árakáp dáku.
They found Tom.	Ápayntún de i Tom.
They found Tom.	Ikít de i Tom.
Tom drank milk.	Mínum yang gátas i Tom.
You're too big.	Masyádu kang maragúl.
Are you married?	Talásáwa ka?
Call the police!	Máus kang pulís!
Congratulations!	Págmanánwan daká.
Congratulations!	Págmanánwan dakayú.
Did Tom go home?	Minúli ya i Tom?
Do you eat meat?	Mámangán kang kárne?
Do you know her?	Kilála me?
Do you like tea?	Bisa kang tsa?
How old are you?	Pilán nakáng banwá?
I am very tired.	Mapagál kung mapagál.
I have two cats.	Atín kung adwáng púsâ.
I want that cat.	Burí ke ing púsang yan.
I was a teacher.	Méstru ku kaníta.
I was a teacher.	Méstra ku kaníta.
I was a teacher.	Taláturú ku kaníta.
I'll be waiting.	Manáya ku.
I'm not chicken.	Éku matalóti.
I've been wrong.	Migkámalí ku.
I've had enough.	Sínáwá náku.
It looked funny.	Lúpa yang mákatúlâ.
It was freezing.	Mágyélu.
It's phenomenal.	Mákapágmulála ya.
Merry Christmas!	Paskwa Nin' Dispu!
Natto is sticky.	Mapékat ing Natto.
They all gasped.	Sínungá la ngan.
They all looked.	Línáwe la ngan.
They all smiled.	Tíníman la ngan.
They all talked.	Migsalíta la ngan.
They all walked.	Línákad la ngan.
They believe it.	Pániwalán da.
They can change.	Mályári lang magbáyu.
They caught Tom.	Árakáp de i Tom.
They didn't run.	Éla mílayî.
They don't care.	Alá lang pakyalám.
They don't help.	Éla sásáup.
They drove home.	Migmanéu la paúlî.
They found this.	Ikít de iní.
This is a horse.	Kabáyu ya iní.
Tom is clueless.	Alá yang kabalú-bálû i Tom.
Tom is swimming.	Kákawé ya i Tom.
Tom looks angry.	Lúpa yang mwa i Tom.
Tom may be back.	Malyáring míbálik ne i Tom.
Tom may be hurt.	Malyáring ménasakít ya i Tom.
Tom was blinded.	Mébúlag ya i Tom.
We can't see it.	E miyá ákákit.
Where is my dog?	Núkarín ya ing ásu ku?
You look stupid.	Lúpa kang makmák.
Did I write that?	Sinúlat ku yan?
Do you live here?	Kéni ka makátuknáng?
Do you live here?	Kéni kayú pû makátuknáng?
Do you live here?	Kéni ko pû makátuknáng?
He loves fishing.	Burí na ing mámadwás.
He loves fishing.	Burí na ing mánasán.
I didn't like it.	Éke burî.
I think Tom died.	King palagé ku méte ya i Tom.
I want some food.	Bísa kung pámangán.
I'm not a doctor.	Éku dóktor.
I'm proud of you.	Págmaragúl daká!
I'm taking notes.	Kúkwa kung "notes".
Is this possible?	Posíbli iné?
Is your mom home?	Atyú king balé ing imá mo?
It was his fault.	Kasalánan na.
It was his fault.	Kasaláná'na.
No one here pays.	Aláng mámáyad kéni.
They all entered.	Línub la ngan.
They all giggled.	Gínalikgík la ngan.
They all stopped.	Tínuknang la ngan.
They all watched.	Ménalbé la ngan.
They appear dead.	Lúpa lang mété na.
They aren't dead.	Éla mête.
They aren't here.	Alá lu kéni.
They aren't rich.	Éla makwálta.
They believe you.	Pániwalán daká.
They believe you.	Pániwalán dakayú.
They both smiled.	Paréu lang tíníman.
They'll find Tom.	Ápayntún de i Tom.
This dog is mine.	Káku ya iníng ásu.
We close at 2:30.	Alás médya kamíng manyará.
We have pictures.	Atín kamíng letratu.
We'll be waiting.	Manáya kamí.
What do you want?	Nánung burí mu?
Where is the dog?	Núkarín ya ing ásu?
Who did you kill?	Nínung péte mu?
Who's in command?	Nínung mánibálâ.
You wouldn't lie.	Éka maglarám.
Your mom is here.	Atyú kéni ing imá mu.
Are you a student?	Istúdyánti ka?
Can you stay long?	Makāpaglambát ka?
Did you know that?	Bálu mu itá?
He died yesterday.	Méte ya nápun.
I also like candy.	Yáku man burí ku ing kéndi.
I am free of debt.	Librí ku king útang.
I don't blame you.	E raká sasangkánan.
I have a headache.	Másakít ku buntúk.
I like candy, too.	Yáku man burí ku ing kéndi.
I remember it all.	Átatandánan ku ngan.
I see you reading.	Ákákit dakáng mámásâ.
I'll wait for you.	Panáyan daká.
I'll write to Tom.	Sulatánan ke i Tom.
I'm as old as you.	Kasíngkatwá daká.
It cannot be true.	E malyáring tutú itá
It's a dictionary.	Tálabaldúgan ya.
It's not my fault.	Éku kasalánan.
Let's get it open.	Busní táya.
She must be angry.	Sigúru mwa ya.
Take the medicine.	Inumán me ing panúlu.
They all listened.	Mékiramdám la ngan.
They all screamed.	Gínulísak la ngan.
They already knew.	Bálu ra na.
They already know.	Bálu ra na.
They already left.	Méko na la.
They aren't there.	Alá lu karín.
They aren't twins.	Éla kambál.
They arrested Tom.	Dékap de i Tom.
They arrested her.	Dékap de.
They arrested him.	Dékap de.
They arrested him.	Inaréstu de.
They believed Tom.	Péniwalán de i Tom.
They both coughed.	Paréu lang méngúkû.
They both giggled.	Paréu lang gínalikgík.
They can't escape.	Éla makátákas.
They captured Tom.	Árakáp de i Tom.
They don't listen.	Éla mákiramdám.
They drank coffee.	Mínum lang kapé.
They executed Tom.	Biníte de i Tom.
They finally left.	Bandáng tawlí méko la.
They followed Tom.	Tíkyan de i Tom.
They followed you.	Tíkyan daká.
They need to talk.	Kaylángan dang magsalítâ.
Tom eats too fast.	Masyádu yang mabilís mangán i Tom.
Tom gave it to us.	Binyé neng Tom kékamí.
Tom got here late.	Tawlí yang míratáng kéni i Tom.
We can solve this.	Álutás táya iní.
We can solve this.	Álutás miyá iní.
We were prisoners.	Présu kamí.
We were prisoners.	Makásúkul kamí.
We won the battle.	Sínambut kamí king labanán.
What got into you?	Nínánu ka?
What is your name?	Nánu ka lagyû?
What is your name?	Nánu ka lagyú?
Where do you live?	Núkarín ka makátuknáng?
Whose bag is this?	Kanínu ya bag iní?
Why would that be?	Óbat makanyán?
You are my friend.	Kálugúran daká.
Come along with us.	Túki ka kékamí.
Come in, it's open.	Lungúb ka, makábusní ya.
Do you like apples?	Burí mo reng mansánas?
Do you remember me?	Átatandánan mukó?
Don't tell my wife.	Ému sasabián king asáwa ku.
Everyone likes him.	Burí re ngan.
Everyone likes him.	Deng eganáganá burí re.
He is a mere child.	Anák yā mû.
He plays very well.	Masalese yang mamyalung.
He plays very well.	Magaling yang mamyalung.
Horses are animals.	Animál la reng kabáyu.
I can't see my dad.	Éke ákit ing táta ku.
I don't have a cat.	Alá kung púsâ.
I don't understand.	Éku áintindián.
I know your father.	Kilála ke ing tátang mu.
I saw him just now.	Ikít ke pámu ngéni.
I, too, like candy.	Yáku man maburí kung kéndi.
Is this Tom's wife?	Iní ing asáwa nang Tom?
It's too expensive.	Masyádu yang mal!
Somebody is eating.	Atíng mámangán.
That's the message.	Itá ing mensáhi.
The bottle is full.	Sapák ya ing bóti.
The bottle is full.	Mitmú ya ing bóti.
They aren't stupid.	Éla makmák.
They both screamed.	Paréu lang gínulísak.
They came together.	Míabé-ábe la.
They didn't answer.	Éla mékíbat.
They found nothing.	Alá lang ápayntún.
They found nothing.	Alá lang ikít.
They work at night.	Béngi lang magóbra.
This is Mary's dog.	Iní ing ásu nang Mary.
This is Mary's dog.	Iní ing ásu nang Maria.
This is Mary's dog.	Iní ing ásu nang Bayang.
Tom drank too much.	Matálik yang mínum i Tom.
Tom has green eyes.	Bérdi ya matá i Tom.
Tom is a gentleman.	Métung yang máginû i Tom.
Tom is in recovery.	Kákáyap ya i Tom.
Watch them closely.	Pakálon mulá.
Watch them closely.	Pakábantén mulá.
We listen to music.	Mákiramdám keng músika.
We urged Tom to go.	Pinílit miyáng muntá i Tom.
We urged Tom to go.	Inamúyut miyáng muntá i Tom.
We were retreating.	Mámatrás kamí.
We're studying now.	Mágáral nakamí.
What are you doing?	Nánánu ka?
Where are you from?	Tagá núkarín ka?
Where are you from?	Nu ka táu?
Where did I put it?	Núkarín ke binílî?
You are very brave.	Taganáng matápang ka.
You're still young.	Anák ka pâ.
Answer the question.	Pakíbatán me ing kutáng.
Are you ready to go?	Makásadyá nakáng makó?
Can you drive a car?	Byása kang magmanéung kótse?
Could we meet again?	Malyári tang míkit pasibáyo?
Do we need a Plan B?	Mángaylángan támung Plan B?
Do you drink coffee?	Míminúm kang kapé?
Don't you hear that?	Ému darámdamán itá?
Get dressed quickly.	Lagwá mung miblás.
Give me a ride home.	Isaké mukú paúlî.
He gets up at seven.	Alás syéti yang migígísing.
He made no response.	E mékíbat.
Here's one I forgot.	Óyni ing métung a ákalingwán ku.
I did it on purpose.	Sasaryán ku itá.
I have to go to bed.	Kaylángan ku nang matudtúd.
I know you are rich.	Bálu kung makwáltá ka.
I made that for you.	Géwa ke yan pará kéka.
I will be back soon.	Gad kung mibálik.
I won't do it again.	Ékuna daptán pasíbáyu itá.
I'll give it to Tom.	Ibyé ke kang Tom.
I'll give it to you.	Ibyé ke kéka.
I'll go and ask Tom.	Kutáng ku kang Tom.
I'll make it simple.	Gáwan keng simplí.
I'll make you happy.	Pasayán daká.
Isn't it remarkable?	E mákapágmulálá itá?
It's Tom's decision.	Kang Tom ya ing disisyún.
It's just a fantasy.	Pantásya yā mú.
My foot fell asleep.	Mépáta ya ing bitís ku.
Rambo doesn't exist.	E tutû i Rambo.
Take a look at that.	Lon me yan.
The bottle is empty.	Alá yang lamán ing bóti.
This is kind of fun.	Manyáman iní.
Tom has a moustache.	Atín yang bigóti i Tom.
Tom must be winning.	Sigúru sásambút ya i Tom.
Tom used to be lazy.	Matamád ya i Tom kaníta.
Tom used to be lazy.	Sadyá yang matamád i Tom.
Tom's not a bad kid.	E ya marók a anák i Tom.
What a lazy teacher!	Katamád a mestró!
What have you taken?	Nánung ínum mu?
What street is this?	Nánu yang dálan iní?
Where are you going?	Núkarín ka muntá?
Where does Tom live?	Núkarín ya makátuknáng i Tom?
Where have you gone?	Núkarín ka mintá?
Where is the toilet?	Núkarín ya ing kasilyás.
You will be ignored.	Éraká sikasuán.
Are you at home, too?	Atyú ka murín king kékayó?
Do I have to pay you?	Kaylángan dakáng bayaránan?
Do you speak Chinese?	Byása kang Ísek?
Do you study English?	Mánigáral kang Inglís?
Everybody got scared.	Mítakútan la ngan.
Everybody got scared.	Mítakútan la reng sablá.
I can't fix the seat.	Éke alárin ing luklúkan.
I think Tom did this.	King palagé ku i Tom ing gínawá kaníti.
I was out for a walk.	Linwál ku bang maglakád-lakád.
I'll be watching you.	Albén daká.
Is this your bicycle?	Iní ing bisíkléta mo?
It's a piece of cake.	Alá yang sákit.
It's a waste of time.	Sáyang mu ing panaún.
Life begins at forty.	Neng kwarénta mágumpisá ing bye.
So what does it mean?	Nung makanyán, nánung kabáldúgan na?
That was unrealistic.	E makatutwánan itá.
They exchanged gifts.	Mípaglíbe lang rigálu.
They finished eating.	Méyári lang mámángan.
They stopped talking.	Tínuknáng lang sásabi.
Tom can barely speak.	E maybúg makásábi i Tom.
Tom won that contest.	Sínambút ya i Tom king liglígan a itá.
We kissed each other.	Mípanúmâ kamí.
Where is your father?	Núkarin ya ing táta mu?
Where is your school?	Núkarín ya ing iskwéla mu?
A new idea came to me.	Atín kung aísip a báyung ideyá.
A new idea came to me.	Atín kung aísip a báyung úkul.
Are you free tomorrow?	Librí ka búkas?
Did you see something?	Atín kang ikét?
Do you believe in God?	Mániwála ka king Dios?
Do you like to travel?	Burí mu ing mágbyáhe?
Does anybody know him?	Atíng mákákilála kayá?
Don't forget about us!	Émuké kakálingwán!
He is not a physician.	Éya dóktor.
He is not kind to her.	Éya maganaká kayá.
He won't listen to me.	E bísang makíramdám káku.
I am selling my goats.	Pisasalí ko reng kambíng ku.
I have to go to sleep.	Kaylángan kung matudtúd.
I hope it'll be quiet.	Sána tahímik ya.
I've missed something.	Atín kung álaktón.
Is your watch correct?	Istú ya ing riló mo?
Is your watch correct?	Ustú ya ing riló mo?
It could rain tonight.	Malyáring murán pótang béngi.
It only happened once.	Mísan mu milyári.
It wasn't you, was it?	Aliwá íka, e wárî?
Like father, like son.	Nung makanánú ya ing táta, makanyán yā namán ing anák.
Many people shop here.	Dakál lang táung mányalí kéni.
My car ran out of gas.	Kégísanán yang gasolína ing kótsi ku.
Nobody likes bad news.	Aláng makí burí king marók a balítâ.
Nobody understands me.	Aláng mákáintindí káku.
Nothing is impossible.	Aláng impusíbli.
Please close the door.	Pakísará me ing pasbúl.
Please iron the shirt.	Pakíplantsá me ing kamiséta.
Summer is almost over.	Álus yarí na ing kaléldo.
That's true, isn't it?	Tutú itá, e warî?
They continued eating.	Sindú da ing pámamangán.
They don't understand.	Éra áintindyán.
They exchanged smiles.	Mípaglíbe lang tíman.
They made me go there.	Pépapuntán dáku karín.
This is a big mistake.	Maragúl a kamalián iní.
Tom is drinking water.	Míminúm yang danúm i Tom.
We can't go right now.	Éta makápuntá ngéni.
We'll get another one.	Kumá tang aliwâ.
What else do you need?	Nánu pang kaylángan mu?
What's in these boxes?	Nánung lamán daréng kahún a réni?
What's in these boxes?	Nánung atyú karéning kahún?
What's your last name?	Nánu ka pilídu?
What's your last name?	Nánu kayú pû pilídu?
Where can we meet you?	Nu raká malyáring pakíkitán?
Where can we meet you?	Nu rakayú malyáring pakíkitán?
Where is the bathroom?	Núkarín ya ing bányu?
You're stronger today.	Mas masikán ka ngéni.
Did anybody follow you?	Atíng tínuki kéka?
Did you lose something?	Atíng mébáting kéka?
Do I have to do it now?	Kaylángan ku nang gáwan ngéne?
