Who?	چه کسی؟
Go on.	ادامه بده ( ادامه دادن )
Smile.	لبخند بزن.
Attack!	حمله!
Got it!	گرفتم!
I know.	من می دانم.
Listen.	گوش کن.
Really?	واقعا؟
Really?	جدا؟
Why me?	چرا من؟
Be cool.	راحت باش.
Be cool.	خونسرد باش.
Be cool.	باحال باش.
Come in.	بیا داخل. بیا تُو.
Come on!	بجنب!
Get out!	برو بیرون!
Get out!	پیاده شو!
Go away!	برو بیرون!
Go away!	گم شو!
Help me!	به من کمک کن.
Help me!	کمکم کن.
Hold it!	بایست!
See you.	به امید دیدار.
See you.	میبینمت.
Shut up!	خفه شو!
So long.	خداحافظ.
Take it.	بگیرش
Tell me.	به من بگو.
Welcome.	خوش آمدید.
Get away!	دور شو!
Grab him.	دستگیرش کن.
Hurry up.	عجله کن!
Keep out!	برو بیرون!
Speak up!	حرفت را بزن!
Terrific!	فوق العاده
We agree.	ما به توافق رسیدیم.
What for?	به چه دلیلی؟
Aim. Fire!	هدف،آتش!
Birds fly.	پرنده ها پرواز می کنند.
Calm down.	آرام باش.
Don't lie.	دروغ نگو.
Excuse me.	ببخشید.
Fantastic!	خیلی با حال! بسیار عالی!
How's Tom?	تام حالش چطوره؟
I fainted.	من غش کردم.
I will go.	خواهم رفت.
I'm needy.	من نیازمندم.
I'm sorry.	من متاسفم.
It's true.	درست است.
Let it go.	ولش کن.
Of course.	البته.
She cried.	او گریست.
She tried.	او سعی کرد.
She walks.	او راه می رود.
Try again.	دوباره سعی کن.
What's up?	چه خبر؟
Who cares?	چه کسی اهمیت می دهد؟
Wonderful!	حیرت آورست!
Wonderful!	شگفت‌انگیزه! خارق العاده است!
You tried.	تو تلاشت را کرده ای.
Be careful.	مراقب باش.
Be careful.	مواظب باش!
Be careful.	احتیاط کن !
Birds sing.	پرندگان آواز می‌خوانند.
Follow him.	دنبالش برو.
God exists.	خدا وجود دارد.
I hear you.	صدایت را می شنوم.
I love you.	دوسِت دارم. عاشِقِتم.
I need you.	بهت احتیاج دارم.
I'm hungry!	من گرسنه ام.
I'm so fat.	من خیلی چاق هستم.
It happens.	پیش می‌آید.
Oh, really?	اوه، واقعاً؟
Once again.	یک بار دیگر.
She smiled.	او لبخند زد.
Step aside.	از یک کنار قدم بردار.
Study hard.	سخت درس بخوان.
Talk to me.	با من حرف بزن.
Time flies.	زمان مثل برق می‌گذرد.
We'll help.	ما کمک خواهیم کرد.
Wood burns.	چوب می سوزد.
Be yourself.	خودت باش.
Don't shout.	داد نزن!
Don't worry.	نگران نباش.
How are you?	حال شما چطوره؟
I forgot it.	فراموشش کردم.
I found you.	شما را پیدا کردم.
I like cats.	من گربه ها را دوست دارم.
I love cats.	من گربه ها را دوست دارم.
I love cats.	من عاشق گربه ها هستم.
I went home.	من به خانه رفتم.
I'm a baker.	من نانوا هستم.
It's Monday.	امروز دوشنبه است.
It's futile.	بیهوده است.
Money talks.	پول کارها را راست و ریس می کند.
Money talks.	همه چیز پول است.
Tom came by.	تام سر زد.
Tom came by.	تام سرزده آمد.
Tom frowned.	تام اخم کرد.
Who'll cook?	چه کسی آشپزی می‌کند؟
Work slowly.	به آرامی کار کن.
Are you busy?	سرت شلوغ است؟
Come with me.	با من بیا.
Do you smoke?	آیا سیگار می‌کشی؟
Drive safely.	با احتیاط بران.
Drive slowly.	به آرامی رانندگی کن.
I am a widow.	من بیوه زن هستم.
I have to go.	باید بروم.
I understand.	فهمیدم.
I'm so happy.	من بسیار خوشحالم.
Is Tom lucid?	آیا تام هشیار است؟
It's my book.	این کتاب من است.
It's snowing.	دارد برف می بارد.
Ladies first.	اول خانم ها بفرمایند.
Let go of it.	ولش کن!
Meat, please.	گوشت، لطفا.
My eyes hurt.	چشمانم آسیب دیدند.
Please leave.	لطفا برو بیرون.
Please relax.	لطفا، آرام باش.
Speak softly.	با نرمی سخن بگو.
Stop smoking.	سیگار نکش.
Sweet dreams!	خواب های خوش ببینی!
Take it easy.	آسان بگیرش.
We succeeded.	موفق شدیم.
What is love?	عشق چیست؟
Years passed.	سالها گذشته است.
You're funny.	شما بامزه هستید.
Are you alone?	آیا تنها هستی؟
Confide in me.	به من اعتماد کن.
Do I know him?	آیا او را می شناسم؟
Do it quickly.	آن را سریع انجام بده.
Everyone dies.	همه می میرند.
I do love you.	واقعاً دوسِت دارم. واقعاً عاشِقِتم.
I felt hungry.	گرسنگی را حس کردم.
I use Firefox.	من از برنامه ی فایرفاکس استفاده می کنم.
I'm a tourist.	من توریستم.
I'm so lonely.	خیلی تنهایَم.
She was brave.	او شجاع بود.
Speak clearly.	روشن حرف بزن.
Time is money.	وقت گرانبهاست.
Tom came back.	تام برگشت.
Tom was brave.	تام شجاع بود.
You're joking!	شوخی می‌کنید.
Close the door.	در را ببند.
Don't watch TV.	تلوزیون را تماشا نکن.
Happy New Year!	سال نو مبارک.
He came by car.	او با ماشین آمد.
He seems tired.	او خسته به نظر می رسد.
He worked hard.	خیلی سخت کار می کرد.
I am Hungarian.	من مجارستانی هستم.
I hate working.	من از کار کردن متنفرم.
I hate zealots.	من از متعصبین متنفرم.
I have nothing.	من چیزی ندارم.
