Smile.	Buzëqesh.
He ran.	Ai vrapo.
Hug me.	Më përqafo.
I know.	E di.
I lost.	Humba.
I quit.	Heq dorë.
Listen.	Dëgjo.
Really?	Vërtetë?
Why me?	Pse unë?
Get out.	Dil jashtë.
Goodbye!	Mirë u pafshim!
He came.	Ai erdhi.
He runs.	Ai vrapon.
Help me.	Më ndihmo.
Join us.	Na u bashko.
Kiss me.	Me puth.
Me, too.	Edhe unë.
Wake up!	Zgjohu!
We know.	E dimë.
You run.	Ti vrapon.
Get lost!	Zhduku!
How deep?	Sa thellë?
Hurry up.	Nxito.
I resign.	Jap dorëheqje.
It works.	Punon.
Sit down!	Ulu!
They won.	Ata fituan.
Too late.	Shumë vonë.
We agree.	Pajtohemi.
What for?	Për çfarë?
After you.	Pas teje.
Birds fly.	Zogjtë fluturojnë.
Calm down!	Qetësohu!
Come here.	Eja këtu.
Come home.	Eja në shtëpi.
Follow me.	Më ndiq.
Forget it.	Harroje.
Good luck.	Paç fat.
I laughed.	Qesha.
It rained.	Ra shi.
Open fire!	Hap zjarr!
Pardon me?	Më falni?
She cried.	Ajo qau.
Stay back.	Rri pas.
Stay calm.	Rrini të qetë.
Wait here.	Prit këtu.
Well done!	Të lumtë!
Wonderful!	E mrekullueshme!
You tried.	Provove.
You tried.	Provuat.
Birds sing.	Zogjtë këndojnë.
Choose one.	Zgjidh një.
Come quick!	Eja shpejtë!
Don't slip.	Mos rreshqisni.
Eat slowly.	Ha ngadalë.
Forget him.	Harroje atë.
Forgive me.	Më fal.
He laughed.	Ai qeshi.
Hello, Tom.	Përshëndetje, Tom.
I got lost.	Humba.
Look there.	Shiko atje.
Mama cried.	Nëna qau.
Mama cried.	Mamaja qau.
No problem.	Ska problem.
Please sit.	Të lutem ulu.
Say cheese.	Thuaj djathë.
She smiled.	Ajo buzëqeshi.
Turn right.	Kthehu djathtas.
Be yourself.	Ji vetvetja.
I apologize.	Kërkoj ndjesë.
It was mine.	Ishte e imja.
Money talks.	Paraja flet.
Nobody came.	Askush nuk erdhi.
Nobody died.	Askush nuk vdiq.
Please come.	Të lutem eja.
Walk slowly.	Puno ngadalë.
Anybody home?	Dikush në shtëpi?
Anything new?	Ndonjë e re?
Be realistic!	Bëhu realist!
Beef, please.	Biftek, ju lutem.
Beef, please.	Biftek, të lutem.
Come quickly.	Eja shpejtë.
Drive slowly.	Vozit ngadalë.
Fish, please.	Peshk, ju lutem.
Ghosts exist.	Fantazmat ekzistojnë.
Good evening.	Mirëmbrëma.
How annoying!	Sa e bezdisshme.
I can't sing.	Unë nuk mund të këndoj.
I understand.	Kuptoj.
Keep reading.	Vazhdo leximin.
Ladies first.	Zonjat të parat.
My arm hurts.	Kam dhimbje në krah.
Nobody asked.	Askush nuk pyeti.
Nobody knows.	Askush nuk e di.
Please hurry!	Të lutem nxito!
Please leave.	Të lutem largohu.
Please smile.	Të lutem buzëqesh.
Someone came.	Dikush erdhi.
This is easy.	Kjo është e lehtë.
Unbelievable!	E pabesueshme!
Years passed.	Vitet kaluan.
Anything else?	Ndonjë gjë tjetër?
Be reasonable.	Ji i arsyeshëm.
Help yourself.	Ndihmo veten.
I want to die.	Dua të vdes.
I was careful.	Isha i kujdesshëm.
Save yourself.	Shpëto veten!
What happened?	Çfarë u bë?
What is truth?	Cila është e vërteta?
Everybody lies.	Të gjithë gënjejnë.
I wasn't there.	Unë nuk isha atje.
Is she married?	A është ajo e martuar?
Someone called.	Dikush thirri.
That's my wife.	Kjo është gruaja ime.
Tom is my hero.	Tomi është heroi im.
Call me, please.	Më telefono, të lutem.
I was a teacher.	Unë isha mësues.
Is Tom a member?	A është Tomi anëtar?
Let me help you.	Më ler të të ndihmoj.
Merry Christmas!	Gëzuar Krishtlindjet.
Please continue.	Të lutem vazhdo.
Please continue.	Ju lutem vazhdoni.
She disappeared.	Ajo u zhduk.
They're working.	Ata po punojnë.
This is my wife.	Kjo është gruaja ime.
Tom disappeared.	Tomi u zhduk.
Write something.	Shkruaj diçka.
Everyone laughed.	Të gjithë qeshën.
How embarrassing!	Sa e turpshme!
I am from Russia.	Jam nga Rusia.
I can handle Tom.	Mund ta përballoj Tomin.
I can handle Tom.	Unë mund të merrem me Tomin.
I have a brother.	Kam një vëlla.
I like languages.	Më pëlqejnë gjuhët.
I like this city.	Më pëlqen ky qytet.
I won't need you.	Nuk do të kem nevojë për ty.
I work as a cook.	Punoj si kuzhinier.
Listen carefully.	Dëgjo me kujdes.
Nothing happened.	Asgjë nuk ndodhi.
Pass me the salt.	Ma kalo mua kripen.
They're teachers.	Janë mësues.
This was my idea.	Kjo ishte ideja ime.
Tom usually wins.	Tomi zakonisht fiton.
Champagne, please.	Shampanjë, të lutem.
Everybody laughed.	Të gjithë qeshën.
Good morning, Tom.	Miremengjes, Tom.
I had a good idea.	Unë kisha një ide e mirë.
I'm Tom's dentist.	Unë jam dentisti i Tomit.
It's for tourists.	Është për turistë.
Make something up.	Shpik ndonjë gjë.
Tom vowed revenge.	Tomi u betua për hakmarrje.
I have one brother.	Kam një vëlla.
I want to kiss you.	Une dua te te puthe.
It could be a trap.	Mund të jetë një kurthë.
It's not effective.	Nuk është efektive.
My glass was dirty.	Gota ime është e papastër.
See what Tom wants.	Shiko çfarë do Tomi.
Something happened.	Diçka ndodhi.
Tom agreed to help.	Tomi u pajtua të ndihmonte.
We can't stop here.	Nuk mund te ndalojmë ketu.
When will this end?	Kur do të përfundojë kjo?
Who is your lawyer?	Kush është avokati yt?
Athens is in Greece.	Athina është në Greqi.
How were you caught?	Si u zure?
I live close to Tom.	Jetoj afër Tomit.
I sometimes stutter.	Ndonjehere me mbahet goja.
I sometimes stutter.	Mua ndonjehere me mbahet goja.
I sometimes stutter.	Ndonjehere me merret goja.
I sometimes stutter.	Mua ndonjehere me merret goja.
I'm very hungry now.	Jam shumë e uritur tani.
I'm very hungry now.	Jam shumë i uritur tani.
It's being repaired.	Është duke u rregulluar.
Let's start at 2:30.	Le të fillojmë në 2:30.
Tell us who you are.	Na tregoni se kush jeni ju.
Tom isn't a student.	Tomi nuk është student.
You are lying to me.	Ti po më gënjen.
How is that possible?	Si është e mundur ajo?
I bought an umbrella.	Bleva një çadër.
I just cracked a rib.	Sapo theva një brinjë.
I respect your views.	I respektoj pikëpamjet tuaja.
I was really unlucky.	Isha vertete shume pa fat.
I was really unlucky.	Une isha vertete shume pa fat.
I was really unlucky.	Isha vertete shume i pafat.
I was really unlucky.	Une isha vertete shume i pafat.
Iceland is an island.	Islanda është një ishull.
Nicotine is a poison.	Nikotina është helm.
The property is mine.	Prona është e imja.
Tom is eating a pear.	Tomi po ha një dardhë.
Tom was busy all day.	Tomi ishte i zënë tërë ditën.
We haven't lost much.	Nuk kemi humbur shumë.
When did you go home?	Kur shkove në shtëpi?
When did you go home?	Kur shkuat në shtëpi?
Africa is a continent.	Afrika është një kontinent.
Are you the new nanny?	A je ti dadoja e re?
Both of you are wrong.	Të dy e keni gabim.
Do you want an orange?	Dëshiron një portokall?
I can hardly hear you.	Të dëgjoj me vështirsi.
I made tea last night.	Bëra çaj mbrëmë.
I want to go to sleep.	Dua të shkoj të fle.
I work for McDonald's.	Punoj për McDonald's.
Let's clear the table.	Le të pastrojmë tavolinën.
May I leave a message?	Mund të lë një mesazh?
Tom folded the letter.	Tomi palosi letren.
Tom folded the letter.	Tomi e palosi letren.
We don't have answers.	Nuk kemi përgjigje.
What language is this?	Çfarë gjuhë është kjo?
You need to be strong.	Duhet të jesh e fortë.
You really are a jerk.	Ti vërtetë je trap.
Better late than never.	Me mire vone se kurr.
Cats usually hate dogs.	Zakonisht macet urrejnë qentë.
Everybody loves my cat.	Të gjithë e duan macen time.
I can't make Tom happy.	Nuk mund ta bëj të lumtur Tomin.
I don't like fireworks.	Nuk më pëlqejnë fishekzjarret.
I looked in the mirror.	Shikova në pasqyrë.
No one was in the room.	Askush nuk ishte në dhomë.
Please open the window.	Të lutem hape dritaren.
Tom has hired a lawyer.	Tomi ka punësuar një avokat.
Tom paid his bill late.	Tomi pagoi faturën e tij vonë.
We shouldn't lose hope.	Nuk duhet të humbasim shpresën.
Who's this message for?	Për kë është ky mesazh?
Will Tom be here today?	Do të jetë Tomi këtu sot?
You know it's not true.	Ti e di që nuk është e vërtetë.
You know it's not true.	Ju e dini që nuk është e vërtetë.
