Fire!	Янгын!
Stop!	Тукта!
Stop!	Стоп!
I know.	Беләм.
Really?	Шулаймы?
Ask Tom.	Томнан сорагыз.
Ask Tom.	Томны сораштырып карагыз.
I'm back.	Мин кайттым.
Let's go!	Әйдәгез!
Who am I?	Кем мин?
Who's he?	Кем ул?
He is ill.	Ул авырый.
Of course!	Әлбәттә!
Who is he?	Кем ул?
Who's she?	Кем ул?
Don't rush.	Ашыкма.
Don't rush.	Кызулама.
Don't rush.	Кабаланма.
Forget him.	Оныт аны.
He is sick.	Ул авырый.
He's happy.	Ул бәхетле.
I hear you.	Ишетәм сине.
I think so.	Минемчә, шулай.
I'm eating.	Мин ашыйм.
I'm lonely.	Мин ялгызак.
That a boy!	Егет икәнсең.
Who is she?	Кем ул?
All is well.	Барысы да яхшы.
He is happy.	Ул бәхетле.
How are you?	Хәлләрегез ничек?
I don't eat.	Мин ашамыйм.
She's happy.	Ул бәхетле.
Are you busy?	Эшегез күпме?
Are you busy?	Eşegez küpme?
Come anytime.	Теләсә кайсы вакытта кил.
Come anytime.	Кайчан теләсәң шунда кил.
Don't forget.	Онытмагыз.
Find the cat.	Песине эзләп тап.
Find the cat.	Мәчене эзләп тап.
Good evening.	Хәерле кич.
I don't care.	Миңа барыбер.
I don't know.	Белмим.
I have to go.	Миңа китәргә кирәк.
It's raining.	Яңгыр ява.
She is happy.	Ул бәхетле.
Should we go?	Китикме инде?
That will do.	Булдырырбыз.
That will do.	Килештек.
That's right!	Дөрес!
They're kids.	Алар балалар.
You're right.	Сез хаклы.
Are you alone?	Сез ялгызмы?
I have a book.	Минем бер китабым бар.
I lost my key.	Ачкычымны югалттым.
I play tennis.	Мин теннис уйныйм.
I'm a student.	Мин студент.
I'm a tourist.	Мин турист.
I'm not going.	Бармыйм.
It is raining.	Яңгыр ява.
This is a dog.	Бу — эт.
This is a map.	Бу — харита.
You're pretty.	Син чибәр.
Cows eat grass.	Сыерлар үлән ашый.
Happy birthday!	Туган көнең белән!
He has a beard.	Ул сакаллы.
He is a doctor.	Ул табиб.
Here is my key.	Менә ачкычым.
How's it going?	Эшләр ничегрәк?
I don't get it.	Аңламыйм.
I don't see it.	Мин аны күрмим.
I want to know.	Беләсем килә.
I wasn't alone.	Ялгыз түгел идем.
I wasn't alone.	Берүзем генә түгел идем.
I'm eating now.	Мин хәзер ашыйм.
I'm not hungry.	Мин ач түгел.
I'm not hungry.	Ашыйсым килми.
It's hot today.	Бүген кыздыра.
Let's watch TV.	Әйдә телевизор карыйк.
This is a book.	Бу — китап.
Are you thirsty?	Сусадыңмы?
Everything's OK.	Барысы да әйбәт.
I am not eating.	Мин ашамыйм.
I have two cats.	Ике мәчем бар.
I like football.	Мин футбол яратам.
I'm eating here.	Мин монда ашыйм.
It's cold today.	Бүген салкын.
It's not a game.	Бу уен түгел!
This is my room.	Бу минем бүлмәм.
To err is human.	Ялгышу кешеләргә хас әйбер.
What time is it?	Сәгать ничә?
What's the news?	Яңалыклар бармы?
Brush your teeth.	Тешләрегезне чистартыгыз.
Call me tomorrow.	Миңа иртәгә шалтырат.
Close the window.	Тәрәзәне яп!
Close the window.	Тәрәзәне яп.
Do you feel well?	Үзегезне яхшы хис итәсезме?
Don't make noise.	Шаулама.
Everything is OK.	Барысы да әйбәт.
He's a historian.	Ул тарихчы.
He's not at home.	Ул өйдә юк.
I bought bananas.	Банан алдым.
I gave up on Tom.	Мин инде Томга кул селтәдем.
I gave up on Tom.	Томнан өметемне өздем инде.
I gave up on Tom.	Томнан өметем өзелде инде.
I have sore feet.	Аякларым авырта.
I like lemon tea.	Мин лимонлы чәй яратам.
I want a blanket.	Юрган алырга телим.
I'm eating lunch.	Төшке ашымны ашыйм.
I'm not a doctor.	Табиб түгелмен.
I'm not a doctor.	Мин табиб түгел.
I've lost my key.	Ачкычымны югалттым.
Is this your car?	Бу сезнең машинагызмы?
It began to rain.	Яңгыр ява башлады.
My ears are cold.	Колакларым туңа.
Please don't cry.	Еламасана, зинһар.
The cat is black.	Мәче кара төстә.
The party's over.	Мәҗлес тәмам.
The party's over.	Эш бетте.
The party's over.	Mäcles tämam.
The party's over.	Eş bette.
They're children.	Алар балалар.
We have two kids.	Безнең ике балабыз бар.
When do we start?	Кайчан башлыйбыз?
When do we start?	Кайчан керешәбез?
When do we start?	Кайчан тотынабыз?
When do we start?	Кайчан китәбез?
Where's my watch?	Сәгатем кайда?
Where's your dad?	Әтиең кайда?
Where's your dog?	Этең кайда?
You're beautiful.	Син чибәр.
You're my friend.	Син минем дустым.
Did you live here?	Сез монда яшәдегезме?
Do you have a son?	Улыгыз бармы?
Everything's fine.	Барысы да яхшы.
He lives in Tokyo.	Ул Токиода яши.
He turned the key.	Ул ачкычны борды.
Here's my address.	Менә минем адресым.
I forgot his name.	Аның исемен оныттым.
I have a question.	Минем бер соравым бар.
I have many books.	Минем китапларым күп.
I have no sisters.	Апа-сеңелләрем юк минем.
I was happy there.	Бу юлы миңа бәхет елмайды.
I was happy there.	Бу юлы мин бәхеткә тарыдым.
It's the same one.	Бу шул ук нәрсә.
Look into my eyes.	Күземә кара.
Please forgive me.	Зинһар, гафу ит!
Tell me your name.	Миңа исемегезне әйтегез.
This is a coconut.	Бу - кокос чикләвеге.
This isn't a fish.	Бу балык түгел.
Today is Saturday.	Бүген шимбә.
Where is my clock?	Сәгатем кайда?
Where is my watch?	Сәгатем кайда?
Where shall we go?	Кая барабыз?
Where's my family?	Кайда минем гаиләм?
You are beautiful.	Син чибәр.
You are beautiful.	Син матур.
You are my friend.	Син минем дустым.
Come along with us.	Әйдә, безнең белән бергә.
Don't overthink it.	Борчылмагыз.
Don't overthink it.	Хафаланмагыз.
Everything is fine.	Барысы да әйбәт.
Everything is fine.	Барысы да яхшы.
Everything is good.	Барысы да әйбәт.
He gave her a book.	Ул аңа китап бирде.
He gave him a book.	Ул аңа китап бирде.
He's a good person.	Ул яхшы кеше.
I don't understand.	Аңламыйм.
I give you my word.	Сүз бирәм сиңа.
I have lost my key.	Ачкычымны югалттым.
I have to go there.	Миңа анда барырга кирәк.
I'll be right back.	Тиздән кайтырмын.
I'll be right back.	Озакламый кайтырмын.
Is this a bad time?	Уңайсызрак вакытмы?
It started to rain.	Яңгыр ява башлады.
It's snowing today.	Бүген кар ява.
That's a good idea!	Бу яхшы фикер!
The boy eats bread.	Малай икмәк ашый.
They won't get far.	Алар ерак китмәс.
This is not a game.	Бу уен түгел!
What did you write?	Ни яздың?
What do you prefer?	Нәрсәне күбрәк ошатасыз?
What do you prefer?	Нәрсәне күбрәк ошатасың?
What do you prefer?	Närsäne kübräk oşatasıñ?
Where are the boys?	Малайлар кайда?
Where are we going?	Кая барабыз?
Where will we meet?	Кайда очрашабыз?
Why are you asking?	Нигә сорыйсың?
You have two balls.	Ике тубың бар.
You're still young.	Син әле яшь.
Answer the question.	Сорауга җавап бир.
Can I wash my hands?	Кулларымны юып алыйммы?
Do you have a house?	Өегез бармы?
I do not understand.	Аңламыйм.
I'm looking for you.	Мин сине эзлим.
I've got a question.	Минем бер соравым бар.
Is it still raining?	Яңгыр явамы әле?
Is it still raining?	Яңгыр һаман явамы?
It's Saturday today.	Бүген шимбә.
Let's try something.	Әйдә, сынап карыйк.
Let's try something.	Әйдәгез, сынап карыйк.
My sister is pretty.	Минем сеңлем чибәр.
That's a great poem.	Шәп шигырь.
This is my daughter.	Бу минем кызым.
Where's your school?	Мәктәбең кайда?
Who am I talking to?	Мин кем белән сөйләшәм?
Why didn't you come?	Нигә килмәдегез?
Why didn't you come?	Нигә килмәдең?
You should eat more.	Сезгә күбрәк ашарга кирәк.
Are you able to swim?	Йөзә беләсеңме?
Don't leave me alone.	Ташлап китмә мине.
Don't leave me alone.	Берүземне генә калдырма.
Fish live in the sea.	Балыклар диңгездә яши.
I ate ice cream, too.	Мин дә туңдырма ашадым.
I showed her my room.	Мин аңа үз бүлмәмне күрсәттем.
It's started raining.	Яңгыр ява башлады.
Sorry for being late.	Соңга калуым өчен гафу итегез.
Sorry for being late.	Гафу итегез, соңга калдым.
Sumatra is an island.	Суматра — утрау.
Tom didn't buy bread.	Том ипи сатып алмады.
We have two children.	Безнең ике балабыз бар.
What are you cooking?	Нәрсә пешерәсез?
When will you retire?	Кайчан пенсиягә чыгачаксың?
Where are we meeting?	Кайда очрашабыз?
Where are we meeting?	Qayda oçraşabız?
Who am I speaking to?	Мин кем белән сөйләшәм?
Why are you laughing?	Нигә көләсең?
You don't seem happy.	Бәхетле булып күренмисең.
You need to eat more.	Сезгә күбрәк ашарга кирәк.
Your answer is right.	Синең җавап дөрес.
Boston is humid today.	Бостонда дымлы бүген.
Do you have earphones?	Колак тыңлагычың бармы?
Do you need this book?	Сиңа бу китап кирәкме?
Everything's in order.	Барысы да тәртиптә.
He has a lot of money.	Аның акчасы күп.
He has three children.	Аның өч баласы бар.
I come from Australia.	Мин Австралиядан.
I have a lot of books.	Минем китапларым күп.
I work at the airport.	Мин аэропортта эшлим.
I'm not hungry at all.	Мин гомумән ач түгел.
It doesn't make sense.	Мәгънәсез нәрсә.
It doesn't make sense.	Bu - mäğnäsezlek.
It doesn't make sense.	Mäğnäsez närsä bu.
It doesn't make sense.	Мәгънәсез нәрсә бу.
She is a good swimmer.	Ул яхшы йөзүче.
That book is very old.	Бу бик борынгы китап.
The bookstore is open.	Китап кибете ачык.
The lake is very deep.	Күл бик тирән.
What did Tom say then?	Том ул вакыт ни диде?
Who am I talking with?	Мин кем белән сөйләшәм?
Whose side are you on?	Сез кем яклы?
Are these flowers real?	Бу чәчәкләр чынмы?
Are you getting sleepy?	Йокың киләме әллә?
Blue looks good on you.	Зәңгәр төс сиңа килешә.
Do you have a question?	Соравың бармы?
Do you study every day?	Һәр көн укыйсыңмы?
Does it sound familiar?	Бу Сезгә танышмы?
Does it sound familiar?	Бу сиңа танышмы?
Everything is in order.	Барысы да тәртиптә.
Have you already eaten?	Ашадыгызмы инде?
Have you had lunch yet?	Төшке ашны ашадыңмы инде?
He has three daughters.	Аның өч кызы бар.
How much is this clock?	Бу сәгать күпме тора?
How much is this watch?	Бу сәгать күпме тора?
I completely forgot it.	Бу хакта бөтенләй онытканмын.
I don't believe in God.	Мин Аллага ышанмыйм.
I have a cat and a dog.	Бер мәчем һәм бер этем бар.
I really appreciate it.	Бу минем өчен бик кадерле.
I really appreciate it.	Моның өчен бик рәхмәтлемен.
I really appreciate it.	Bu minem öçen bik qäderle.
I really appreciate it.	Monıñ öçen bik räxmätlemen.
I thought Tom was dead.	Том үлгән дип уйладым.
I want to write a book.	Китап язарга җыенам.
I wish I was in Boston.	Бостонда булсам иде дип хыялландым.
I'd like a double room.	Ике урынлы номерга урнашыр идем.
I'm no longer starving.	Тамагым ач түгел инде.
I'm no longer starving.	Бүтән ашыйсым килми инде.
I'm not hungry anymore.	Бүтән ашыйсым килми инде.
It has started raining.	Яңгыр ява башлады.
My mother is a teacher.	Минем әни укытучы.
That sounds good to me.	Моны ишетүе миңа бик күңелле.
That sounds good to me.	Monı işetüe miña bik küñelle.
The problem isn't ours.	Бу безнең проблем түгел.
This means a lot to me.	Бу минем өчен күп нәрсәне аңлата.
This was not our fault.	Бу безнең ялгышыбыз түгел иде.
Who are you talking to?	Кем белән сөйләшәсең?
You don't want to know.	Беләсең килми.
You should go to sleep.	Сиңа йокларга ятарга кирәк.
You're a good musician.	Син яхшы музыкант.
Your answer is correct.	Синең җавап дөрес.
Can't you speak English?	Син инглизчә белмисеңмени?
Can't you speak English?	Син инглизчә белмисеңме?
Do you have a cellphone?	Синең мобиль телефоның бармы?
Do you love your mother?	Әниеңне яратасыңмы?
I don't mind either way.	Ничек кенә булса да, мин каршы түгел.
I don't mind either way.	Башкача булса да, мин каршы түгел.
I don't mind either way.	Niçek kenä bulsa da, min qarşı tügel.
I don't mind either way.	Başqaça bulsa da, min qarşı tügel.
Just relax and have fun.	Йомшарып китеп ләззәтләнегез.
Just relax and have fun.	Йомшарып китеп ләззәтлән.
That's very nice of you.	Сез бик илтифатлысыз.
The police released him.	Полиция аны җибәрде.
They're waiting for you.	Алар сине көтә.
This is a good textbook.	Бу — яхшы дәреслек.
Tom is not fond of pets.	Том йорт хайваннарын яратмый.
We almost never eat out.	Без беркайчан да кафе-рестораннарда ашамыйбыз диярлек.
What did you do with it?	Моның белән ни эшләдең?
What will the trip cost?	Сәфәр күпме торачак?
Did you enjoy the movies?	Фильм ошадымы?
Did you enjoy the movies?	Фильмны ошаттыңмы?
Don't worry about my dog.	Этем турында кайгыртмагыз.
Don't worry about my dog.	Этем турында кайгыртма.
I don't have any sisters.	Апа-сеңелләрем юк минем.
I grew up in the country.	Мин авылда үстем.
I haven't washed my hair.	Чәчемне юмадым.
I'm a university student.	Мин студент.
I'm very grateful to you.	Мең рәхмәт Сезгә!
It's six o'clock already.	Сәгать алты инде.
Now we're together again.	Без хәзер яңадан бергә.
The dinner was very good.	Кичке аш бик тәмле булды.
Tokyo is a very big city.	Токио — бик зур шәһәр.
Tom boarded the airplane.	Том очкычка менде.
Tom found a lot of money.	Том күп акча тапты.
Tom ran all the way home.	Том өенә юл буе чаба-чаба кайтты.
Tom ran all the way home.	Том өйенә кайтып җиткәнче чапты.
Turtles don't have teeth.	Ташбакаларның тешләре булмый.
Turtles don't have teeth.	Ташбакалар тешсез була.
What time are we meeting?	Кайчан очрашабыз?
What time are we meeting?	Qayçan oçraşabiz?
Who are you talking with?	Кем белән сөйләшәсең?
Do you have any questions?	Сорауларың бармы?
Do you like San Francisco?	Ошыймы Сезгә Сан-Франциско?
Do you understand English?	Инглиз телен аңлыйсызмы?
Do you understand English?	Инглиз телен аңлыйсыңмы?
Every rose has its thorns.	Гөлчәчәк чәнечкесез булмас.
Gold is heavier than iron.	Алтын тимердән авыррак.
He came back from America.	Ул Америкадан кайткан.
He is playing in his room.	Ул үзенең бүлмәсендә уйный.
I question your sincerity.	Самимилегегезне шик астына куям.
I usually get up at seven.	Гадәттә мин җидедә торам.
I want to know the reason.	Минем сәбәбен беләсем килә.
There's no doubt about it.	Һичшиксез.
There's no doubt about it.	Бу хакта сүз дә юк.
Tom as as strong as an ox.	Том үгез кебек көчле.
Tom has a younger brother.	Томның энесе бар.
Tom has always been a pig.	Том гелән-гелән дуңгыз булды.
Tom isn't in the hospital.	Том хастаханәдә түгел.
Tom wanted his money back.	Том акчасын кире алырга теләде.
Where do you usually park?	Машинагызны гадәттә кайда калдырасыз?
Where do you usually park?	Машинаңны гадәттә кайда калдырасың?
Who do you think will win?	Кем җиңәр дип уйлыйсың?
Do you have an interpreter?	Тәрҗемәчегез бармы?
Do you have an interpreter?	Тылмачыгыз бармы?
Do you think fish can hear?	Балыклар ишетә дип уйлыйсыңмы?
I've had enough, thank you.	Рәхмәт, туйдым.
Is this a bad time to chat?	Аралашу өчен уңайсызрак вакытмы?
Is this a bad time to chat?	Aralaşu öçen uñaysızraq waqıtmı?
It's easier said than done.	Әйтүе генә җиңел ул.
Mary is helping her mother.	Мария әнисенә ярдәм итә.
May I see you for a moment?	Сезне бер генә мизгелгә тоткарларга мөмкинме?
Most of them are Canadians.	Аларның күпчелеге Канадалы.
Put the carrots in the pot.	Кишерне казанга сал.
The lake freezes in winter.	Күл кыш көне туңа.
The pen has run out of ink.	Ручканың карасы беткән.
The pen has run out of ink.	Каләмнең карасы беткән.
What's your opinion of Tom?	Том хакында фикерегез нинди?
When did you learn to swim?	Йөзәргә кайчан өйрәндең?
Are you going to town today?	Бүген шәһәргә барасыңмы?
Are you going to town today?	Бүген шәһәргә барасызмы?
Did you paint this yourself?	Моны үзең буядыңмы?
He shaves four times a week.	Ул атнага дүрт тапкыр кырына.
I just love beautiful women.	Нәкъ менә гүзәл хатын-кызны яратам да инде.
I'm looking for another job.	Башка эш эзлим.
I'm not sure about the date.	Вакытын төгәлрәк билгелисе иде.
I'm not sure about the date.	Waqıtın tögälräk bilgelise ide.
Is Tom one of the finalists?	Tom finalğa çıqqannarnıñ berseme?
Is Tom one of the finalists?	Том финалга чыкканнарның берсеме?
Is there anyone in the room?	Бүлмәдә кем дә булса бармы?
No man is wise at all times.	Гомер буе әүлия була алмыйсың.
Soldiers are used to danger.	Солдатлар куркынычка күнеккән.
The dog is wagging its tail.	Көчек койрыгын селки.
They made us work all night.	Алар безне төне буе эшләттеләр.
