Definitely!	తప్పకుండా
He hung up.	అతను పెట్టేసాడు
I ran home.	నేను ఇంటికి పరిగెత్తాను
Who are we?	మేము ఎవరము ?
Are you mad?	కోపమొచ్చిందా ?
He touched me.	అతను నన్ను తాకాడు
My head hurts.	నా తల నొప్పిపుడుతుంది
I drank coffee.	నేను కాఫీ తాగాను
How tall is she?	ఆమె ఎంత పొడుగు ?
They're animals.	వాళ్ళు మృగాలు
Can you see that?	నువ్వు అది చూసావా ?
I began to speak.	నేను మాట్లాడటం మొదలుపెట్టాను
I dislike coffee.	నాకు కాఫీ ఇష్టం లేదు
I'm hungry again.	నాకు మళ్ళా ఆకలి వేస్తుంది
I don't accept it.	నేను అంగీకరించను
What's in the box?	పెట్టె లో ఏముంది?
Which is your pen?	నీ కలం ఏది ?
Are you feeling OK?	వొంట్లో ఎలా వుంది
Help came too late.	సహాయం చాలా ఆలస్యముగా వచ్చింది
How are you coming?	నువ్వు ఎలా వస్తున్నావ్?
I do make mistakes.	నేనూ తప్పులు చేస్తాను
It wasn't my fault.	అది నా తప్పు కాదు.
It's very valuable.	అది చాలా విలువైనది
She's not a doctor.	ఆమె వైద్యురాలు కాదు
We want to hear it.	మేము వినాలని అనుకుంటున్నాం
What will you have?	నువ్వు ఏమి తీసుకుంటావ్?
Where was your son?	మీ అబ్బాయి ఎక్కడ వున్నాడు ?
More coffee, please.	దయచేసి ఇంకొంచం కాఫీ ఇవ్వరా.
Tom was very scared.	టామ్ చాలా భయపడ్డాడు.
What are you saying?	నువ్వు ఏం చెప్తున్నావు ?
You seem very happy.	నువ్వు చాలా సంతోషంగా ఉన్నట్లున్నావ్
I don't know who won.	ఎవరు గెలిచారో నాకు తెలియదు
I'll be very careful.	నేను చాలా జాగ్రత్తగా ఉంటాను
I've thought of that.	నాకు అది తట్టింది
She sat on the bench.	ఆమె బల్ల మీద కూర్చుంది .
What else can I lose?	నేను ఇంకేం కోల్పోతాను ?
I don't need anything.	నాకు ఏమీ అవసరంలేదు.
I heard the bell ring.	నాకు గంట మోగటం వినపడింది
I heard you were sick.	నీకు బాగోలేదని విన్నాను
I suggest you do that.	నువ్వు అది చెయ్యమని నా సలహా
She's not at home now.	తను ఇప్పుడు ఇంటి దగ్గర లేదు
The station is nearby.	స్టేషన్ దగ్గర్లో వుంది
This made me very sad.	ఇది నన్ను చాలా బాధ పెట్టింది
I don't speak Japanese.	నేను జపనీస్ మాట్లాడను
I don't trust that guy.	నేను వాడిని నమ్మను
Let's take that chance.	మనం ఆ అవకాశం తీసుకుందాం
Old people walk slowly.	ముసలివాళ్లు నెమ్మదిగా నడుస్తారు
She was pale with fear.	ఆమె భయంతో తెల్లబోయింది
There was nothing left.	ఇంకేమి మిగల్లేదు
This is not a sentence.	ఇది ఒక వాక్యం కాదు.
Was it really that bad?	అది నిజంగా అంత చెడ్డదా ?
Can I make a phone call?	నేను ఒక ఫోన్ చేసుకోవచ్చా ?
He didn't keep his word.	అతను తన మాట నిలబెట్టుకోలేదు
He made her a bookshelf.	అతను ఆమెకి పుస్తకాల అర తయారు చేసాడు
It's not all your fault.	ఇదంతా నీ తప్పు కాదు
She scared the cat away.	ఆవిడ పిల్లిని భయపెట్టి తరిమేసింది .
The work is almost done.	పని దాదాపుగా అయిపోయింది
What's your room number?	నీ గది అంకె ఎంత ?
Why do you want to come?	మీరు ఎందుకు రావాలనుకుంటున్నారు?
He dressed up as a woman.	అతడు స్త్రీలాగా వస్త్రాలను ధరించాడు.
I'll let it go this time.	నేను ఈసారికి వదిలేస్తాను
None of them are present.	వాళ్లెవరు రాలేదు
We did that deliberately.	మేము అది కావాలని చేశాం
We haven't slept in days.	మేము రోజుల తరబడి నిద్రపోలేదు
You have to come at once.	నువ్వు ఒక్కసారిగా రావాలి
Out of sight, out of mind.	చూపుకి వెలుపల​, మనసుకి వెలుపల​
When did you quit smoking?	పొగ తాగడం ఎప్పుడు ఆపేశావ్?
Where did you put my book?	నా పుస్తకం ఎక్కడ పెట్టావ్?
You've arrived very early.	నువ్వు చాల త్వరగా వచ్చావు
Brush your teeth every day.	నీ పళ్ళు రోజూ తోముకో
Did all this really happen?	ఇదంతా నిజంగా జరిగిందా ?
Some of the dogs are alive.	కొన్ని కుక్కలు బ్రతికే ఉన్నాయి
That wasn't easy, you know.	అది అంత తేలిక కాదు, తెలుసా
The movie's about to start.	చలనచిత్రం మొదలు అవ్వబోతుంది
We don't understand French.	మాకు ఫ్రెంచి అర్ధం కాదు
Are you prepared to do this?	ఇది చెయ్యడానికి సిద్దంగా వున్నావా
I don't know where they are.	వాళ్ళు ఎక్కడ ఉన్నారో నాకు తెలియదు
The baby is crying for milk.	పసిపాప పాల కోసం ఏడుస్తుంది
We'd better leave her alone.	తనని ఒంటరిగా వదిలెయ్యడం మంచిది
You must stay where you are.	నువ్వు ఎక్కడ ఉన్నవో అక్కడే ఉండు
Don't interfere with my work.	నా పని లో అడ్డు రాకు.
How many mangoes do you want?	మీకు ఎన్ని మామిడిపండ్లు కావాలి?
She breathed in the cold air.	ఆమె చల్ల గాలి పీల్చింది .
She was on her way to school.	తను స్కూలుకు వెళ్ళే దారిలో వుంది
We need money to do anything.	ఏం చెయ్యాలన్నా మనకి డబ్బులు కావాలి
I know you're going to say no.	నాకు నువ్వు ఒద్దని చెప్తావని తెలుసు.
It actually isn't that simple.	అది అంత సులభం ఏం కాదు
Tell me about your daily life.	నీ రోజువారీ జీవితం గురించి చెప్పు
That sounds really interesting.	అది చాలా ఆసక్తికరంగా ఉన్నట్లు ఉంది
There's no reason to be afraid.	భయపడాల్సిన కారణం ఏమీ లేదు.
We played basketball yesterday.	మేము నిన్న బాస్కెట్ బాల్ ఆడాము
You have no need to be ashamed.	నువ్వు సిగ్గు పడాల్సిన అవసరం లేదు
You may go swimming or fishing.	నువ్వు ఈత కొట్టడానికో లేక చేపలు పట్టడానికో వెళ్ళొచ్చు
You must speak in a loud voice.	నువ్వు గట్టిగా మాట్లాడాలి
I'm not allowed to do that here.	అది ఇక్కడ చెయ్యడానికి నాకు అనుమతి లేదు
My sister is crazy about tennis.	మా అక్కకి టెన్నిసంటే పిచ్చి
Tom and I often chat on the bus.	టామ్ మరియు నేను తరచుగా బస్సులో ముచ్చటిస్తుంటాము.
Do you live in this neighborhood?	నువ్వు ఈ చుట్టుపక్కల నివసిస్తున్నావా?
Have you ever had a heart attack?	నీకు ఎప్పుడైనా గుండెపోటు వచ్చిందా
I can't keep you here any longer.	నిన్ను ఇక్కడ ఇంకా ఎక్కువ సమయం వుంచలేను
She refuses to say more about it.	ఆవిడ ఇంకా ఎక్కువ చెప్పడానికి ఒప్పుకోవట్లేదు
These pencils are the same color.	ఈ పెన్సిళ్లు ఒకే రంగులో ఉన్నాయి
This is a pretty stupid question.	ఇది చాలా తెలివితక్కువ ప్రశ్న
Don't hesitate to ask me for help.	నన్ను సహాయం అడగడానికి ఏం సందేహ పడొద్దు
He washed the blood off his hands.	అతడు తన చేతులకి అంటిన రక్తాన్ని కడిగేసాడు
I'm really sorry about last night.	నిన్న రాత్రికి నన్ను నిజంగా క్షమించు
I'm usually the one who does that.	సాదారణంగా అది చేసేది నేనే
She taught music for thirty years.	ఆమె ముప్పై ఏళ్ళ పాటు సంగీతం నేర్పిస్తుంది
A cat came out from under the desk.	ఒక పిల్లి డెస్క్ కింద నుండి బయటకు వచ్చింది.
How about going out to eat tonight?	ఈ రాత్రి బయటకి వెళ్లి తిందామా ?
Do you have anything further to say?	ఆ పైన ఇంకేమైనా చెప్పేది వుందా ?
I don't have time to talk right now.	నాకు ఇప్పుడు మాట్లాడేంత సమయం లేదు
I don't want to talk to you anymore.	నేనింక నీతో మాట్లాడదల్చుకోవట్లేదు
Sitting down all day is bad for you.	రోజంతా కూర్చోవడం నీకు మంచిది కాదు
We need to hire people we can trust.	మనం నమ్మదగిన వాళ్ళనే పనిలోకి తీసుకోవాలి
You can eat lunch here in this room.	నువ్వు భోజనం ఇక్కడ ఈ గదిలో తినొచ్చు
I'm getting off at the next bus stop.	నేను వచ్చే స్టాపు లో దిగుతాను
He is teaching Spanish to the children.	అతను పిల్లలకి స్పానిష్ నేర్పుతున్నాడు
He was a great poet as well as a doctor.	ఆటను ఒక గొప్ప కవే కాదు మంచి వైద్యుడు కూడా
I wouldn't go there today if I were you.	నేను నువ్వైతే ఈరోజు అక్కడికి వెళ్ళను
She asked me how many languages I spoke.	నేను ఎన్ని భాషలు మట్లాడుతానని తను అడిగింది
