Go.	Gitmek.
Hi.	Salam
Run!	Ylga!
Who?	Kim?
Wow!	Bä!
Fire!	Ot!
Help!	Kömek
Jump!	Bök!
Jump.	Bökmek.
Stop!	Dur!
Wait!	Garaş!
Wait.	Garaşmak
Hurry!	Tiz bol!
I try.	Men synanysyan.
Oh no!	Waý eý!
Shoot!	At!
Smile.	Syrtaýmak
Smile.	Ýylgyrmak
I'm OK.	Meniñ ÿagdaÿym boljak
Listen.	Diñle.
Thanks.	Sag boluñ.
Why me?	Name ucin men?
Help me.	Mana komek et.
Hold on.	Saklan.
Perfect!	Ajaýyp!
Perfect!	Birkemsiz!
Be quiet.	Ýuwaş bol.
How cute!	Nahili eyjejik!
How deep?	Nahili cuñ!
I agreed.	Men razy boldum.
I'm sure.	Men ynamly.
I'm sure.	Men bilýärin.
Look out!	Hazir bol!
Too late.	Oran gic.
What for?	Name ucin?
Answer me.	Maña jogap ber.
Birds fly.	Guslar ucyarlar.
Come here.	Su yere gel.
Fantastic!	Hyýaly(fantastiki).
Follow me.	Meni yzarla.
Follow me.	Meniñ yzyma dus.
Follow me.	Meniň yzymdan geliň.
Follow me.	Meniň yzymdan gel.
Forget it.	Yatdan cykar.
Good luck.	Sowly bolsun.
Goodnight.	Gijañiz rahat bolsun.
How awful!	Nahili erbet!
I laughed.	Men guldum
I'm angry.	Men gazaply.
I'm happy.	Men şat.
Look back!	Yzyña seret!
Look down.	Aşak seret.
See above.	Ýokara gözlañ.
See below.	Aşagrak serediň.
Seriously?	Çyndanam şeýlemi?
Try again.	Tazeden synanys
Who knows?	Kim bilyar?
Wonderful!	Ajaýyp!
You tried.	Sen synanysdyñ.
Come quick!	Calt gel!
Definitely!	Kesgitli.
Definitely!	Elbetde!
Fire burns.	Ot yanyar.
Forget him.	Ony yatdan cykar.
I will try.	Men synanyşaryn.
I will try.	Barlap görerin.
I will try.	Deňärin.
I will try.	Synanyşaryn.
It's bogus.	Ol galplykdyr.
It's bogus.	Ol adalatsyzlykdyr.
Keep quiet.	Yuwaslygy saklañ.
Never mind!	Uns berme.
You called?	Sen jan etdiñmi?
Am I stupid?	Men samsykmy?
Do as I ask.	Men diýişim ýaly ýerine ýetir.
I made this.	Men etdim muny
I overslept.	Men kop yatypdyryn.
I was angry.	Men gazaplydym.
Nobody came.	Hic kim gelmedi.
Plants grow.	Guller osyar.
Wait for us.	Bize garaş.
Wait for us.	Bize garaşyň.
Walk slowly.	Hayal yore.
We did this.	Biz etdik muny
Work slowly.	Hayal isle.
Be our guest.	Myhmanymyz boluň.
Drive slowly.	Yuwas sur.
I have a car.	Meniň bir awtomobilim bar.
I like money.	Men puly gowy görýärin.
I see a star.	Men ýyldyz görýärin
I watched TV.	Men telewizor seretdim.
I watched TV.	Men telewizora tomaşa etdim.
I'm a doctor.	Men lukman.
I'm a doctor.	Men doktor.
Is that blue?	Bu gök reñkdemi?
Just shut up.	Sem bol.
Milk the cow.	Sygryñ suydi
Stop talking.	Gurruñüñizi goyuñ
Stop, please.	Dur, haýyşt
Stop, please.	Duraýda
That's right!	Şol dogry!
This is huge.	Bu ullakan.
Tom is awake.	Tom oýa.
Unbelievable!	Ynanyp bolmajak
Welcome home.	Oye hos geldiñ.
What is love?	Söýgi namedir?
Years passed.	Yyllar gecdi
Are you twins?	Sen ekizmisiñ?
Flowers bloom.	Guller acyldy.
He's not sick.	Ol ýarawsyz däl.
I am all ears.	Dykgat bilen diñleýärin.
I want to cry.	Men eňremek isleýärin.
I watched you.	Men saňa seretdim.
I wish I knew.	Men bilen bolsadym.
I'll warn Tom.	Men Toma duýduryş bererin.
I'm in my car.	Men öz maşynymda.
I'm plastered.	Men serhoş.
It's too fast.	Bu çendenaşa tiz.
Life's unfair.	Durmuş adalatsyz.
May I go, too?	Men hem gidip bilerinmi?
Read after me.	Menden soňra oka.
Read after me.	Menden soňra okaň.
They're happy.	Olar bagtly.
Tom scared us.	Tom bizi gorkuzdy.
Tom's married.	Tom öýlenen.
You're my son.	Sen meniň oglum.
Are these real?	Bular çynmy?
Are these real?	Bular hakykymy?
Don't stand up.	Ýeriñizden turmañ.
Don't touch it.	Elleme!
Don't touch it.	Ony elleme.
Eat everything.	Hemmesini iy.
He's not ready.	Ol(oglan) taýýar däl.
I hate walking.	Men ýöremegi ýigrenýän.
I have a chill.	Men üşeýärin.
I have a clock.	Meniň sagadym bar.
I have a cough.	Men üsgürýärin.
I have a dream.	Meniň bir arzuwym bar.
I have a piano.	Mende pianino bar.
I have no clue.	Habarym ýok.
I have no idea.	Mende hiç hili pikir ýok.
I miss you all.	Men ähliñizi göresim gelýär.
I want to live.	Men ýaşamak isleýärin.
I've been seen.	Meni gördüler.
Louder, please.	Gatyrak, hayys
She kicked him.	Ol gyz ol oglany depdi.
That was nifty.	Ol netijeli boldy.
That was nifty.	Ol täsirli geçdi.
They quarreled.	Olar sowusdiler.
Ticket, please.	Yok petegiñiz, hayys.
Tom called 911.	Tom 911 belgini aýlady / jaň etdi.
Tom can't come.	Tom gelip bilmeýer.
Tom is devoted.	Tom wepaly.
Tom made me go.	Tom meni gider ýaly etdi.
Tom made plans.	Tom planlar etdi.
Tom rewrote it.	Tom muny täzeden ýazdy.
Tom took risks.	Tom riskleri aldy.
Tom warned you.	Tom seni duýdurdy.
Why is Tom sad?	Näme üçin Tom gamgyn?
All are present.	Hemme bu ýerde bar.
Can I come, too?	Men hem gelip bilýenmi?
Can you stop it?	Sen ony bes edip bilersiňmi?
Clip your nails.	Dyrnaklaryňy kes.
Clip your nails.	Dyrnaklaryňyzy kiçeldişdiriň.
Congratulations!	Gutlaýarys!
Don't be scared.	Gorkma.
Here, try it on.	Ynha, geýip gör.
How did Tom die?	Tom nädip ýogaldy?
How did they do?	Olar nädip etdiler?
I can't compete.	Men ýary.yp bilmeýen.
I have a donkey.	Mende eşek bar.
I have a family.	Meniň bir maşgalam bar.
I know Tom lied.	Men Tomuň ýalan sözländigini bilýärin.
I lied about it.	Men ol barada ýalan sözledim.
I need somebody.	Maňa biri gerek.
I saw Tom leave.	Tomuň gidendigini gördüm.
I saw Tom on TV.	Tomy telewizorda gördüm.
I saw Tom smile.	Tomuň gülüp oturandygyny gördüm.
I saw something.	Birzat gördüm.
I saw you on TV.	Seni telewizýorda gördüm.
I say go for it.	Şonuň üçin git diýýärin.
I teach history.	Men Taryhdan okadýan.
I walked inside.	Men içine girdim
I want to drive.	Men sürmek isleýärin.
I want to sleep.	Men uklamak isleýärin.
I'll check that.	Men ony barlaryn.
I'm a nonsmoker.	Men çilimkeş däl.
I'm cooking now.	Men häzir bişirýärin.
I'm going to go.	Men gitjek.
I'm pretty full.	Men mazalyja doýdum.
It isn't a fake.	Bu ýasama däl!
That smells bad.	Ondan erbet ys gelýär.
This is my desk.	Bu meniň partam.
This is my desk.	Bu meniň stolum.
This isn't true.	Bu hakyky däl.
This isn't true.	Bu dogry däl.
Tom had to wait.	Tom garaşmaly bolar.
Tom is retiring.	Tom pensiýa çykýar.
Tom is so happy.	Tom örän şadyýan.
Tom sells shoes.	Tom köwüş satýar.
We'll tell them.	Biz olara aýdarys.
We've found Tom.	Biz Tomy tapdyk.
Why are we poor?	Biz näme üçin garyp?
You'll do great.	Sen başararsyň.
All hope is gone.	Bütin umytlar ýogaldy.
All were present.	Hemmämiz bardyk.
Attention please!	Uns beriñ, hayys!
Come with us now.	Häzir biz bilen gel.
Get used to that.	Sen oňa uýgunlaş.
He is my teacher.	Ol meniň mugallymym.
Here, try my pen.	Ine, meniň ruçkamy ulanyp görüň.
Here, try my pen.	Ine, meniň ruçkamy ulanyp gör.
How unlucky I am!	Men nähili şowsuz!
How unlucky I am!	Men nähili betbagt!
I can't eat pork.	Men doňuz etini iýip bilmeýärin.
I can't remember.	Men aňyp bilemok.
I don't eat beef.	Men sygyr etini iýemok.
I don't remember.	Aňmaýaryn.
I don't remember.	Men aňmaýaryn.
I expected worse.	Men erbedräk zada garaşdym.
I got up quickly.	Men derrew turdym.
I know what's up.	Men ählli täzeliklerden habardar.
I saw you crying.	Aglaýandygyňy gördüm.
I'll be in touch.	Men habarlaşaryn.
I'll eat it here.	Men ony bärde iýjek.
I'll never learn.	Hiç wagt öwrenjek däl.
I'm real careful.	Men hakykatdanam ünsli.
I'm really happy.	Men hakykatdan bagtly.
I'm really happy.	Men çyndan bagtly.
I've got a fever.	Meniň gyzgynym bar.
Is the door open?	Gapy açykmy?
It belongs to me.	Maňa degişli.
It belongs to me.	Meniňki.
It belongs to me.	O maňa degişli.
It's windy today.	Şugün howa şemally
Just say nothing.	Hiç zat aýtmaň.
Just say nothing.	Hiç zat aýtma.
Leave that alone.	Ýalňyz goý.
Listen carefully.	Uns berip dinle.
My eyes are blue.	Meniň gözlerim gök reňkde
My stomach hurts.	Içim agyrýar.
Nothing happened.	Hic zat bolmaly.
Put the bag down.	Torbany aşak goý.
Take our picture.	Bizi surada al.
They've seen Tom.	Olar Tomy gördiler.
This is a secret.	Bu syr.
This is a secret.	Bu gizlin.
This is an error.	Bu ýalňyşlyk.
This should work.	Bu işlemeli.
Tom gets my vote.	Men Toma ses berýän.
Tom is a bad guy.	Tom erbet oglan.
Tom is depressed.	Tom ruhdan gaçdy.
Tom is easygoing.	Tom alçak oglan.
Tom knows Boston.	Tom Bostony bilýär.
Tom woke Mary up.	Tom Merini turuzdy.
Try to calm down.	Köşeşmäge çalyş.
What is it, dear?	Bu näme, ezizim?
What is it, dear?	Bu näme, mähribanym?
What's not right?	Näme nädogry?
Will you go, too?	Senem gidersiňmi?
Will you go, too?	Sizem gidersiňizmi?
You have to wait.	Garaşmalysyň.
You'll need this.	Bu saňa gerek bolar.
Are you listening?	Diňleýäňizmi?
Are you listening?	Dinleýäňmi?
Did Tom come here?	Tom bu ýere geldimi?
Did you buy a car?	Sen maşyn satyn aldyñmy?
Did you buy a car?	Sen ulag satyn aldyñmy?
Do you have paper?	Seniň kagyzyň barmy?
Do you want a job?	Sen iş isleýäňmi?
Do you want a job?	Sen işlemek isleýäňmi?
Do you want a job?	Saňa iş gerekmi?
Drop your weapons!	Ýaraglaryňyzy goýuň!
Drop your weapons!	Ýaraglaryňy goý!
Everybody laughed.	Hemme kisi guldi.
Feed the chickens.	Juyjeleri naharlamak
He does not smoke.	Ol çilim çekmeýär.
He goes to school.	Ol okuwa gidýär.
I am baking bread.	Men çörek bişirip durun.
I didn't buy that.	Muny satyn almadym.
I didn't buy that.	Muny almadym.
I do all the work.	Hemme işi men edýärin.
I have a headache.	Meniň kelläm agyrýar.
I have no weapons.	Hiç ýaragym ýok.
I kept on singing.	Men aýdym aýtmagy dowam etdim.
I never oversleep.	Men hiç ýatyp galmadym.
I saw Tom take it.	Ony Tomuň alandygyny gördüm.
I saw you looking.	Seniň seredendigiňi gördüm.
I saw you outside.	Seni daşaryda gördüm.
I see I was wrong.	Hataly boladygymy düşünýärin.
I teach geography.	Men geografiýa öwredýärin.
I was needed here.	Meniň kömegim bu ýerde gerek boldy.
I wasn't with Tom.	Men Tom bilen däldim.
I work afternoons.	Men öýleden soňra işleýärin.
I'll shut you out.	Seni dyndyraryn.
I'm Tom's dentist.	Men Tomyñ diş dogtory.
I'm a little busy.	Men biraz meşgul (şu wagt)
I'm just starving.	Men diñe açlykdan edýärin.
It is windy today.	Şu gün howa şemally.
It isn't dark yet.	Heniz garaňky düşmedi.
It wasn't planned.	Bu planlaşdyrylmandy.
It wasn't planned.	By meýilleşdirilmändi.
It's not that far.	Ol känbir uzakda däl.
It's not yet time.	Heniz wagt bolanok.
It's the same hat.	Bu şol bir şapka.
It's the same hat.	Bu şol bir papak.
My uncle is angry.	Meniň daýym gaharly.
Stop being stupid.	Däliremegi goý.
Thanks for trying.	Synanyşanyňyz üçin sag boluň.
Thanks for trying.	Synanyşanyň üçin sag bol.
Thanks in advance.	Häzirden sag boluñ.
That's very vague.	Bu örän takyk kesgitlenmedikdir/ nämälimdir.
They are all ears.	Olar üns berip eşidip otyrlar.
This cake is good.	Bu tort gowy.
This fish is good.	Bu balyk gowy.
This is my choice.	Bu meniň saýlamam.
This is my cousin.	Bu meniň çykanym.
Those are my cats.	Olar meniñ pisiklerim.
Three people came.	Üç adam geldi.
Tom can't come in.	Tom girip bilmez.
Tom can't stop me.	Tom meni saklap bilmez.
Tom can't stop me.	Tom meni duruzyp bilmez.
Tom is a believer.	Tom bir ynançlydyr
Tom is unbeatable.	Tom ýeñilmezdir.
Tom isn't like us.	Tom bizi halanok.
Tom just got home.	Tom edil ýaňyja öýüne bardy.
Tom looked lonely.	Tom ýeke görünýärdi.
Tom was born rich.	Tom baý bolup doguldy.
We deserve better.	Biz has gowusyna mynasyp.
We should be fine.	Biz gowy bolmaly.
What's your major?	Sen haysy ugurdan okayan?
Where will you go?	Sen nirä gitjek?
