Who am I?	مەن كىم ؟
He shaved.	ئۇ ساقىلىنى ئالدى.
I am sick.	مەن كېسەل.
I like you.	مەن سىزنى ياخشى كۆرمەن
Who are we?	بىز كىم؟
I need help.	ماڭا ياردەم كېرەك.
It may hurt.	ئاغىرىشى مۇمكىن.
Good morning.	خەيىرلىك ئەتىگەن.
I'm no saint.	مەن ھۆرمەتلەشكە لايىق ئەمەس.
I'm not dead.	مەن ئۆلمىدىم.
He's in Tokyo.	ئۇ توكيۇدا.
I am Hungarian.	مەن ۋىنگىرىيەلىك.
I'm undressing.	كىيىمىمنى سېلىۋاتىمەن.
It wasn't good.	ياخشى ئەمەستى.
It wasn't long.	ئۇزۇن ئەمەستى.
He is depressed.	ئۇ ئۆمىتسىزلەندى.
He was innocent.	ئۇ گۇناھسىز ئېدى.
His name is Tom.	ئۇنىڭ ئېتى توم.
I am very tired.	مەن بەك ھېرىپكەتتىم.
What's the news?	نېمە خەۋەر بار؟
I just said that.	مەن دەل شۇنداق دېدىم.
It wasn't locked.	قۇلۇپلاقلىق ئەمەستى.
That's not right.	ئۇنداق ئەمەس.
What is the news?	نېمە خەۋەر بار؟
He died of cancer.	ئۇ راك كېسىلى بىلەن ئۆلدى.
He had a headache.	ئۇنىڭ بېشى ئاغرىپ قالدى.
They're policemen.	ئۇلار ساقچى.
Who runs the show?	كۆرگەزمىنى كىم ئۆتكۈزىدۇ.
Are you two hungry?	ئىككىڭلارنىڭ قورسىقى ئاچتىمۇ؟
Do you like tennis?	چويلا توپنى ياقتۇرامسىز؟
His room is untidy.	ئۇنىڭ ياتىقى قالايمىقان.
His room is untidy.	ئۇنىڭ ياتىقى رەتسىز.
Is this your phone?	بۇ سىزنىڭ تېلېفونىڭىزمۇ؟
Nobody will notice.	ھېچكىم دىققەت قىلمايدۇ.
We looked about us.	بىز ئۆزىمىزگە قاراپ باقتۇق.
You live and learn.	ياشا ھەم ئۆگەن.
Do you have a match?	سىزدە سەرەڭگە بارمۇ؟
I have a chest cold.	ئۆپكەم شامالداپ قاپتۇ.
It wasn't difficult.	قېيىن ئەمەستى.
It wasn't important.	مۇھىم ئەمەستى.
She has a white cat.	ئۇنىڭ بىر ئاق مۈشۈكى بار.
Tom threatened Mary.	توم مارىيەگە تەھدىت سالدى.
Where are you going?	قەيەرگە كېتىۋاتىسەن؟
Do you want to dance?	ئۇسۇل ئويناشنى خالامسىز؟
He talked to himself.	ئۇ ئۆزىگە ئۆزى سۆزلىدى.
He was put in a cell.	ئۇ ئايرىم كامىرغا قامالدى.
I could help you out.	مەن سىزگە ياردەم قىلاي.
I'm doing it for Tom.	بۇنى توم ئۈچۈن قىلىۋاتىمەن.
I'm doing it for Tom.	بۇنى تومنى دەپ قىلىۋاتىمەن.
