Hi.	سلام۔
Help!	مدد۔
Thanks.	شکریہ۔
We won.	ہم جیت گئے۔
Beat it.	بھاگ جائو۔
Beat it.	دفعہ ہو جائو۔
We lost.	ہم ہار گئے۔
Good job!	پہت خوب۔
Let's go!	!چلو
Tom's up.	ٹام اٹھ چکا ہے۔
I am sick.	میں بیمار ہوں۔
Let me in.	مجھے اندر آنے دو۔
Let's try!	آئیے ہم کوشش کریں!
Stay thin.	پتلی رہو۔
Stay thin.	پتلے رہو۔
Stay thin.	موٹی نہ ہونا۔
Stay thin.	موٹے نہ ہونا۔
Tom's fat.	ٹام موٹا ہے۔
Tom's mad.	ٹام ناراض ہے۔
Tom's sad.	ٹام اداس یے۔
Tom's shy.	ٹام شرمیلا ہے۔
We talked.	ہم نے بات کی۔
We'll try.	ہم کوشش کرے گے۔
We'll win.	ہم جیتے گے۔
What's up?	کیا ہو رہا ہیں؟
Are you OK?	کیا تم ٹھیک ہو؟
Good night.	شب بخیر۔
I like tea.	مجھے چائے پسند ہے۔
I love her.	میں اس سے پیار کرتا ہوں۔
I love you.	مجھے تم سے پیار ہے۔
I love you.	میں تم سے محبت کرتا ہوں۔
I need you.	مجھے تمھاری ضرورت ہے۔
I need you.	مجھے آپ کی ضرورت ہے۔
I'm sleepy.	مجھے نیند آ رہی ہے۔
I'm sleepy.	مجھے خماری چڑھ رہی ہے۔
Tom's dead.	ٹام مر چکا ہے۔
Tom's deaf.	ٹام بہرہ ہے۔
Tom's died.	ٹام مر گیا ہے۔
Tom's fast.	ٹام تیز ہے۔
Tom's free.	ٹام آذاد ہے۔
Tom's gone.	ٹام چلا گیا ہے۔
Tom's here.	ٹام ادھر ہے۔
Tom's home.	ٹام گھر پہ ہے۔
Tom's hurt.	ٹام زخمی ہے۔
Tom's safe.	ٹام محفوظ ہے۔
Tom's sick.	ٹام بیمار ہے۔
Tom's weak.	ٹام کمزور ہے۔
Tom's well.	ٹام ٹھیک ہے۔
We'll help.	ہم مدد کرے گے۔
We'll wait.	ہم انتظار کرے گے۔
How are you?	آپ کیسے ہو ؟
How are you?	آپ کا کیا حال ہے ؟
I live here.	میں یہاں رہتا ہوں۔
I live here.	میں ادھر رہتا ہوں۔
I love rock.	مجھے روک پسند ہے۔
I need help.	مجھے مدد کی ضرورت ہے۔
I trust you.	مجھے تم پر بھروسہ ہے۔
I'm at home.	میں گھر پہ ہوں۔
Is it white?	کیا یہ سفید ہے؟
It may rain.	شاید بارش ہو جائے۔
It may snow.	شاید برفباری ہو جائے۔
Let's do it.	چلو یہ کرتے ہیں۔
Tom's bored.	ٹام بوریت کا شکار ہو رہا ہے۔
Tom's drunk.	ٹام نشہ میں ہے۔
Tom's right.	ٹام صحیص ہے۔
Tom's smart.	ٹام عقل مند ہے۔
Tom's tired.	ٹام تھکا ہوا ہے۔
Tom's weird.	ٹام عجیب ہے۔
Tom's wrong.	ٹام غلط ہے۔
Tom's young.	ٹام جوان ہے۔
We'll dance.	ہم ناچے گے۔
We'll dance.	ہم رقص کرے گے۔
Work slowly.	آرام سے کام کرو۔
Good evening.	شام بخیر۔
Good morning.	صبح بخير۔
Grab my hand.	میرا ہاتھ تھامو۔
Grab my hand.	میرا ہاتھ پکڑو۔
I can't move.	میں ہل نہیں سکتا۔
I do my best.	میں اپنی پوری کوشش کرتا ہوں۔
I don't care.	مجھے کوئی پڑوا نہیں ہے۔
I don't care.	مجھے کوئی فرق نہیں پڑتا۔
I don't know.	میں نہیں جانتا ۔
I keep a dog.	میں کتا رکھتا ہوں۔
I won't lose!	میں نہیں ہاروں گا۔
I'm very hot.	میں بہت گرم ہوں۔
Keep reading.	پڑھتے رہو۔
Keep reading.	اور پڑھو۔
Keep reading.	آگے پڑھو۔
