Run!	Chạy!
Help!	Giúp tôi với!
Go on.	Tiếp tục đi.
Hello!	Chào bạn.
Hurry!	Nhanh lên nào!
Eat it.	Ăn đi.
Eat it.	Ăn nó đi.
Help me!	Cứu tôi với!
I agree.	Tôi cũng nghĩ như vậy.
Perfect!	Hoàn hảo!
We know.	Chúng tôi biết.
We know.	Chúng ta biết.
You run.	Bạn chạy.
Cheer up.	Đừng có rầu rĩ quá như thế.
He tries.	Hắn thử.
He tries.	Anh thử.
Hurry up.	Thoáng cái chân lên!
I forgot.	Tôi quên mất rồi.
I'm bald.	Tôi bị hói
I'm busy.	Tôi đang bận.
Too late.	Muộn quá.
I hate TV.	Tôi ghét ti vi.
I laughed.	Tôi đã cười.
I laughed.	Tôi cười.
I will go.	Tôi sẽ đi.
It's cold.	Lạnh.
It's ours.	Đó là của chúng tôi.
It's ours.	Đó là của chúng ta.
She cried.	Nó đã khóc.
She cried.	Cô ấy đã khóc
Sit there.	Hãy ngồi ở đó.
What's up?	Gì thế?
What's up?	Có chuyện gì?
Are you OK?	Bạn có sao không?
Find a job.	Hãy tìm một công việc đi.
Hurry home.	Hãy mau về nhà đi.
I can read.	Tôi đọc được.
I guess so.	Tôi đoán vậy.
I guess so.	Tôi đoán thế.
I hate you.	Tôi ghét anh.
I love you.	Anh phải lòng em.
I will try.	Tôi sẽ thử.
I'm lonely.	Tôi cảm thấy cô đơn.
I'm so fat.	Tôi béo quá.
I'm so fat.	Tôi béo vãi.
It's magic.	Đó là phép thuật.
Let me try.	Để tôi thử.
No kidding?	Không đùa chứ?
Time is up.	Thời gian đã hết.
Time is up.	Hết giờ.
Time is up.	Hết thời gian.
Tom winked.	Tom đã nháy mắt.
Tom winked.	Tom nháy mắt.
Who's here?	Ai đây?
Be punctual.	Hãy đúng giờ.
Don't fight.	Đừng đánh nhau.
Don't fight.	Đừng có mà đánh nhau.
I heard you.	Tôi nghe bạn rồi.
I like both.	Tôi thích cả hai cái.
I like jazz.	Tôi thích nhạc jazz.
I like math.	Tôi thích toán.
I live here.	Tôi sống ở đây.
I need more.	Tôi cần thêm.
I need more.	Tôi cần thêm nữa.
I saw a UFO.	Tôi nhìn thấy UFO.
I saw a dog.	Tôi thấy một con chó.
I'm nervous.	Tôi lo lắng.
I'm not Tom.	Tôi không phải Tom.
I'm not Tom.	Tôi không phải là Tom.
I'm smashed.	Tôi đã say rượu
I'm thirsty.	Tôi khát nước.
It suits me.	Nó vừa với tôi.
Let's do it.	Thực hiện thôi.
May I begin?	Tôi có thể bắt đầu được không?
May I begin?	Tôi bắt đầu được không ạ?
Nobody came.	Không ai tới hết.
She is kind.	Cô ấy là một người tốt bụng.
Tom saw you.	Tom đã trông thấy bạn.
Tom saw you.	Tom đã nhìn thấy bạn.
Vote for me!	Hãy bầu cho tôi!
Vote for me!	Bầu cho tôi đi!
We miss Tom.	Chúng tôi nhớ Tom.
What's that?	Cái này là cái gì?
What's this?	Đây là cái gì?
You're mine.	Em là của anh.
You're mine.	Anh là của em.
You're mine.	Mày là của tao.
Anybody home?	Có ai ở nhà không?
Anybody home?	Có ai ở nhà không ạ?
Are you cold?	Bạn có lạnh không?
Are you cold?	Bạn lạnh không?
Are you okay?	Bạn có sao không?
Come help me.	Hãy đến cứu tôi!
Come with me.	Đi với tôi.
Don't be shy.	Đừng ngại.
Don't be shy.	Đừng ngượng.
Drive faster.	Lái nhanh hơn đi.
Hang on, Tom.	Chờ chút, Tom.
I am at home.	Tôi đang ở nhà.
I don't know.	Tôi không biết.
I don't know.	Tôi không hiểu.
I hear music.	Tôi nghe nhạc.
I like bread.	Tôi thích bánh mì.
I like bread.	Tôi thích bánh mỳ.
I won't lose!	Tôi không thua đâu!
I'd buy that.	Lấy cho tôi cái kia.
I'm not free.	Tôi không rảnh.
I'm not free.	Em không rảnh.
I'm not free.	Mình không rảnh.
I'm not free.	Tao không rảnh.
I'm not free.	Tớ không rảnh.
I'm retiring.	Tôi sắp nghỉ hưu.
Is Tom there?	Tom có ở đó không?
It's raining.	Trời đang mưa.
It's so easy.	Quá dễ.
It's so hard.	Việc này thật là khó.
It's the law.	Đó là luật.
Keep looking.	Cứ tiếp tục nhìn đi.
Keep looking.	Cứ tiếp tục xem đi.
Let Tom stay.	Để Tom ở lại.
Let Tom wait.	Hãy để Tom đợi.
Let me dream.	Hãy để tôi mơ mộng.
Let me dream.	Để tôi mơ đi.
Let's try it.	Thử nó xem sao.
Let's try it.	Thử nó đi.
My eyes hurt.	Mắt tớ đau.
Now let's go.	Giờ chúng ta đi thôi nào.
She liked it.	Cô ấy thích nó.
Stop filming.	Dừng ghi hình.
That is mine.	Cái đó là của tôi.
Tom helps us.	Tom giúp đỡ chúng tôi.
Tom loves it.	Tom thích nó lắm.
Tom was poor.	Tom từng là một người nghèo.
Trust no one.	Đừng tin một ai.
Trust no one.	Đừng tin ai hết.
Trust no one.	Đừng tin bất cứ ai.
Unbelievable!	Thật khó tin!
Unbelievable!	Thật là khó tin!
Unbelievable!	Thật không thể tin được!
We need both.	Chúng ta cần cả hai.
Won't you go?	Sao cậu chưa đi đi?
You're bossy.	Bạn thật hống hách.
